.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRX384345_1	1	1	0.5	1	1	1	1	1	0.25	0.5	1
SRX384345_2	1	1	0.25	1	1	1	0.5	1	0.5	0.5	1
SRX384346_1	1	1	0.5	1	1	1	1	1	0.5	0.5	1
SRX384346_2	1	1	0.25	1	1	1	0.5	1	0.5	0.5	1
SRX384349_1	1	1	1	1	1	1	1	1	0.25	1	1
SRX384349_2	1	1	0.5	1	1	1	1	1	0.25	1	1
SRX384350_1	1	1	0	1	1	1	1	1	0.5	1	1
SRX384350_2	1	1	0	1	1	1	1	1	0.5	1	1
SRX384353_1	1	1	0	1	1	1	1	1	0.25	1	1
SRX384353_2	1	1	0	1	1	1	1	1	0.25	1	1
SRX384354_1	1	1	0.25	1	1	1	1	1	0.25	1	1
SRX384354_2	1	1	0.25	1	1	1	1	1	0.25	1	1
SRX384357_1	1	1	0	1	1	1	1	1	0.5	1	1
SRX384357_2	1	1	0	1	1	1	1	1	0.5	1	1
SRX384358_1	1	1	0	1	1	1	1	1	0.25	1	1
SRX384358_2	1	1	0	1	1	1	1	1	0.25	1	1
