Sample	Unique Reads	Duplicate Reads
SRX384345_1	11399905.0	11535616.0
SRX384345_2	11940417.0	10995104.0
SRX384346_1	10663646.0	10492061.0
SRX384346_2	11336161.0	9819546.0
SRX384349_1	12235203.0	15901079.0
SRX384349_2	12450898.0	15685384.0
SRX384350_1	8645557.0	8177531.0
SRX384350_2	8806491.0	8016597.0
SRX384353_1	12222432.0	15076538.0
SRX384353_2	12498181.0	14800789.0
SRX384354_1	14732766.0	19565494.0
SRX384354_2	15009489.0	19288771.0
SRX384357_1	10661206.0	10614682.0
SRX384357_2	10798402.0	10477486.0
SRX384358_1	11201179.0	12286681.0
SRX384358_2	11431929.0	12055931.0
