Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
SRX384345_1	(20, 5977.0)	(21, 5958.0)	(22, 6717.0)	(23, 6919.0)	(24, 7342.0)	(25, 6845.0)	(26, 7177.0)	(27, 7188.0)	(28, 7204.0)	(29, 7430.0)	(30, 7469.0)	(31, 7837.0)	(32, 7610.0)	(33, 7963.0)	(34, 7511.0)	(35, 7093.0)	(36, 6799.0)	(37, 6885.0)	(38, 6726.0)	(39, 6957.0)	(40, 7477.0)	(41, 7625.0)	(42, 8204.0)	(43, 8676.0)	(44, 9182.0)	(45, 9602.0)	(46, 10488.0)	(47, 11243.0)	(48, 11490.0)	(49, 12092.0)	(50, 13976.0)	(51, 15920.0)	(52, 17831.0)	(53, 20181.0)	(54, 22063.0)	(55, 26232.0)	(56, 32038.0)	(57, 45835.0)	(58, 84708.0)	(59, 179777.0)	(60, 551212.0)	(61, 1695126.0)	(62, 5190452.0)	(63, 14594349.0)
SRX384345_2	(20, 5536.0)	(21, 5138.0)	(22, 5321.0)	(23, 5469.0)	(24, 5798.0)	(25, 5785.0)	(26, 5644.0)	(27, 5759.0)	(28, 5881.0)	(29, 6121.0)	(30, 6013.0)	(31, 6008.0)	(32, 6197.0)	(33, 5932.0)	(34, 6161.0)	(35, 6737.0)	(36, 6919.0)	(37, 7170.0)	(38, 7362.0)	(39, 5894.0)	(40, 7227.0)	(41, 9545.0)	(42, 14837.0)	(43, 22311.0)	(44, 16422.0)	(45, 18071.0)	(46, 23535.0)	(47, 23870.0)	(48, 19849.0)	(49, 16718.0)	(50, 17992.0)	(51, 30344.0)	(52, 52376.0)	(53, 45026.0)	(54, 27432.0)	(55, 23285.0)	(56, 28340.0)	(57, 37635.0)	(58, 66589.0)	(59, 158584.0)	(60, 515165.0)	(61, 1678140.0)	(62, 5157205.0)	(63, 14596043.0)
SRX384346_1	(20, 5810.0)	(21, 5961.0)	(22, 6253.0)	(23, 6672.0)	(24, 7096.0)	(25, 6733.0)	(26, 7252.0)	(27, 7241.0)	(28, 7052.0)	(29, 7406.0)	(30, 7429.0)	(31, 7702.0)	(32, 7548.0)	(33, 7852.0)	(34, 7597.0)	(35, 6872.0)	(36, 6846.0)	(37, 6536.0)	(38, 6669.0)	(39, 7314.0)	(40, 7613.0)	(41, 7836.0)	(42, 8391.0)	(43, 8700.0)	(44, 9760.0)	(45, 10006.0)	(46, 10564.0)	(47, 11464.0)	(48, 11752.0)	(49, 12059.0)	(50, 14716.0)	(51, 18543.0)	(52, 18582.0)	(53, 21782.0)	(54, 22494.0)	(55, 26610.0)	(56, 32229.0)	(57, 47719.0)	(58, 85997.0)	(59, 184906.0)	(60, 522204.0)	(61, 1544360.0)	(62, 4756801.0)	(63, 13260109.0)
SRX384346_2	(20, 5841.0)	(21, 5466.0)	(22, 5314.0)	(23, 5383.0)	(24, 5639.0)	(25, 5673.0)	(26, 6630.0)	(27, 5651.0)	(28, 5788.0)	(29, 6628.0)	(30, 5906.0)	(31, 6444.0)	(32, 6436.0)	(33, 6083.0)	(34, 6389.0)	(35, 6505.0)	(36, 7007.0)	(37, 7412.0)	(38, 7239.0)	(39, 6186.0)	(40, 7221.0)	(41, 9577.0)	(42, 14680.0)	(43, 20708.0)	(44, 16028.0)	(45, 17473.0)	(46, 22565.0)	(47, 22651.0)	(48, 19766.0)	(49, 17153.0)	(50, 19164.0)	(51, 41029.0)	(52, 76828.0)	(53, 65808.0)	(54, 32302.0)	(55, 23018.0)	(56, 26656.0)	(57, 35673.0)	(58, 61967.0)	(59, 145646.0)	(60, 471668.0)	(61, 1527706.0)	(62, 4721789.0)	(63, 13254342.0)
SRX384349_1	(20, 9019.0)	(21, 9515.0)	(22, 9801.0)	(23, 10244.0)	(24, 10858.0)	(25, 11726.0)	(26, 11557.0)	(27, 12763.0)	(28, 12972.0)	(29, 13662.0)	(30, 14168.0)	(31, 14564.0)	(32, 15126.0)	(33, 15415.0)	(34, 15388.0)	(35, 15869.0)	(36, 17024.0)	(37, 17883.0)	(38, 18976.0)	(39, 20649.0)	(40, 21194.0)	(41, 21968.0)	(42, 23561.0)	(43, 24552.0)	(44, 26557.0)	(45, 27227.0)	(46, 29600.0)	(47, 30626.0)	(48, 34439.0)	(49, 32996.0)	(50, 37197.0)	(51, 41610.0)	(52, 51680.0)	(53, 59733.0)	(54, 68666.0)	(55, 94586.0)	(56, 144944.0)	(57, 200288.0)	(58, 289226.0)	(59, 443175.0)	(60, 1036810.0)	(61, 2041714.0)	(62, 6175889.0)	(63, 16508015.0)
SRX384349_2	(20, 12365.0)	(21, 12530.0)	(22, 12532.0)	(23, 13397.0)	(24, 13738.0)	(25, 14403.0)	(26, 15224.0)	(27, 15274.0)	(28, 15991.0)	(29, 16665.0)	(30, 17418.0)	(31, 18339.0)	(32, 19556.0)	(33, 20474.0)	(34, 20988.0)	(35, 22574.0)	(36, 23508.0)	(37, 23356.0)	(38, 21650.0)	(39, 15204.0)	(40, 17269.0)	(41, 19363.0)	(42, 20441.0)	(43, 22396.0)	(44, 24542.0)	(45, 25154.0)	(46, 27435.0)	(47, 28748.0)	(48, 31024.0)	(49, 34049.0)	(50, 37781.0)	(51, 41603.0)	(52, 48022.0)	(53, 54537.0)	(54, 59789.0)	(55, 78579.0)	(56, 113424.0)	(57, 177894.0)	(58, 283100.0)	(59, 365675.0)	(60, 903599.0)	(61, 2019920.0)	(62, 6195263.0)	(63, 16768639.0)
SRX384350_1	(20, 6129.0)	(21, 6520.0)	(22, 6764.0)	(23, 7189.0)	(24, 7171.0)	(25, 7653.0)	(26, 8335.0)	(27, 8691.0)	(28, 8585.0)	(29, 9405.0)	(30, 9408.0)	(31, 9687.0)	(32, 10460.0)	(33, 11745.0)	(34, 11093.0)	(35, 12384.0)	(36, 12819.0)	(37, 12900.0)	(38, 13277.0)	(39, 14130.0)	(40, 15211.0)	(41, 15497.0)	(42, 15750.0)	(43, 18057.0)	(44, 20384.0)	(45, 21322.0)	(46, 21034.0)	(47, 22649.0)	(48, 24551.0)	(49, 23907.0)	(50, 24720.0)	(51, 26705.0)	(52, 31329.0)	(53, 36228.0)	(54, 43934.0)	(55, 55794.0)	(56, 70283.0)	(57, 80063.0)	(58, 105356.0)	(59, 179328.0)	(60, 457795.0)	(61, 1261608.0)	(62, 3859700.0)	(63, 9898892.0)
SRX384350_2	(20, 9834.0)	(21, 10091.0)	(22, 9920.0)	(23, 10708.0)	(24, 10995.0)	(25, 11476.0)	(26, 11665.0)	(27, 12332.0)	(28, 13085.0)	(29, 13284.0)	(30, 13594.0)	(31, 14129.0)	(32, 14774.0)	(33, 15761.0)	(34, 16663.0)	(35, 17939.0)	(36, 18717.0)	(37, 18465.0)	(38, 17942.0)	(39, 12851.0)	(40, 14141.0)	(41, 16322.0)	(42, 18156.0)	(43, 18738.0)	(44, 19313.0)	(45, 20251.0)	(46, 21216.0)	(47, 22907.0)	(48, 24141.0)	(49, 25860.0)	(50, 29867.0)	(51, 32441.0)	(52, 38573.0)	(53, 38547.0)	(54, 42011.0)	(55, 48149.0)	(56, 59316.0)	(57, 71048.0)	(58, 101874.0)	(59, 185585.0)	(60, 455760.0)	(61, 1251437.0)	(62, 3817794.0)	(63, 9876770.0)
SRX384353_1	(20, 9952.0)	(21, 10826.0)	(22, 10954.0)	(23, 11508.0)	(24, 12408.0)	(25, 12899.0)	(26, 13845.0)	(27, 14910.0)	(28, 15169.0)	(29, 16486.0)	(30, 16845.0)	(31, 17258.0)	(32, 17385.0)	(33, 18615.0)	(34, 18221.0)	(35, 19861.0)	(36, 21640.0)	(37, 22035.0)	(38, 22488.0)	(39, 23941.0)	(40, 25521.0)	(41, 26582.0)	(42, 28627.0)	(43, 32269.0)	(44, 36894.0)	(45, 37342.0)	(46, 38561.0)	(47, 40061.0)	(48, 41954.0)	(49, 43786.0)	(50, 51142.0)	(51, 54446.0)	(52, 64222.0)	(53, 74449.0)	(54, 88106.0)	(55, 112843.0)	(56, 160906.0)	(57, 227030.0)	(58, 327501.0)	(59, 469918.0)	(60, 1029209.0)	(61, 1952674.0)	(62, 5912896.0)	(63, 15593127.0)
SRX384353_2	(20, 14236.0)	(21, 14763.0)	(22, 14933.0)	(23, 16442.0)	(24, 16562.0)	(25, 16778.0)	(26, 17873.0)	(27, 18990.0)	(28, 20229.0)	(29, 20953.0)	(30, 22925.0)	(31, 24463.0)	(32, 24874.0)	(33, 25988.0)	(34, 26505.0)	(35, 28446.0)	(36, 28160.0)	(37, 28979.0)	(38, 26228.0)	(39, 18991.0)	(40, 21996.0)	(41, 24627.0)	(42, 26238.0)	(43, 27906.0)	(44, 29108.0)	(45, 30167.0)	(46, 34502.0)	(47, 36301.0)	(48, 39256.0)	(49, 43637.0)	(50, 52547.0)	(51, 58770.0)	(52, 69413.0)	(53, 72469.0)	(54, 80450.0)	(55, 98839.0)	(56, 139050.0)	(57, 212555.0)	(58, 325791.0)	(59, 384543.0)	(60, 900704.0)	(61, 1994920.0)	(62, 5942621.0)	(63, 15723584.0)
