Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51
SRX384345_1 - polya	(1, 0.008399558136602247)	(2, 0.011092344715753938)	(3, 0.015501122742404252)	(4, 0.019795501339221325)	(5, 0.022219889256071948)	(6, 0.024921475791364656)	(7, 0.027407463401202408)	(8, 0.030447848247924333)	(9, 0.03458822761227358)	(10, 0.0374350134238931)	(11, 0.04052379802939062)	(12, 0.04339698370943319)	(13, 0.045825771604354325)	(14, 0.048892556319499306)	(15, 0.051774541955682894)	(16, 0.054432128710270505)	(17, 0.05704131570608252)	(18, 0.05954930320627282)	(19, 0.06230368947841164)	(20, 0.06471927743912124)	(21, 0.06747366371126007)	(22, 0.07059324816325116)	(23, 0.07315843537835807)	(24, 0.07599642123383657)	(25, 0.07865840796649469)	(26, 0.08212559068605602)	(27, 0.08517477548891897)	(28, 0.08939435445853738)	(29, 0.09253593880088101)	(30, 0.09558952358181447)	(31, 0.09855070882326722)	(32, 0.10148109421822642)	(33, 0.10513747599481964)	(34, 0.10823506055645819)	(35, 0.11137224492073132)	(36, 0.11423663064463287)	(37, 0.11707461650011136)	(38, 0.12015460114946787)	(39, 0.12326978562338846)	(40, 0.12645096976836667)	(41, 0.13064414886956202)	(42, 0.13518932621639815)	(43, 0.1389161076421195)	(44, 0.14170129376075188)	(45, 0.14526967597593493)	(46, 0.1479580625770161)	(47, 0.15108644698514823)	(48, 0.1536252343318321)	(49, 0.15690761797243202)	(50, 0.1598380033673912)	(51, 0.16224919135003033)	(52, 0.16224919135003033)
SRX384345_2 - polya	(1, 0.008456757851518868)	(2, 0.010903145658722036)	(3, 0.015245924014314712)	(4, 0.019280703904971736)	(5, 0.021551092589354535)	(6, 0.023966680550064137)	(7, 0.026298668927434064)	(8, 0.029383053554861083)	(9, 0.032740236822659675)	(10, 0.038684607195917736)	(11, 0.04213858998126754)	(12, 0.04552657309555969)	(13, 0.048514158205435504)	(14, 0.05273813715312443)	(15, 0.05576532206563482)	(16, 0.058906906407978465)	(17, 0.062066090662604136)	(18, 0.06486447671544805)	(19, 0.0682964596104453)	(20, 0.07116524531241736)	(21, 0.07438602926003017)	(22, 0.07791481167257862)	(23, 0.08067359792278796)	(24, 0.08408358092743266)	(25, 0.08726916505048139)	(26, 0.09123354529201026)	(27, 0.09457312864752682)	(28, 0.09980910255143288)	(29, 0.10350068415259019)	(30, 0.10695466693793998)	(31, 0.11058904882418066)	(32, 0.1140166317411074)	(33, 0.1185090093510974)	(34, 0.12221379088646622)	(35, 0.1255577742200533)	(36, 0.12868175865011489)	(37, 0.1321885411723108)	(38, 0.13577452329977588)	(39, 0.13925490595354872)	(40, 0.14295088753277654)	(41, 0.14746526503311908)	(42, 0.15267043909053157)	(43, 0.15668761906890655)	(44, 0.15982040345510917)	(45, 0.16348118520977292)	(46, 0.16780636365308355)	(47, 0.1713791458463371)	(48, 0.17423033163602714)	(49, 0.17783391367577425)	(50, 0.18100629786461145)	(51, 0.18346588560602614)	(52, 0.18346588560602614)
SRX384346_1 - polya	(1, 0.010872786094451956)	(2, 0.014282253295233218)	(3, 0.019278637528818175)	(4, 0.02391435880040229)	(5, 0.02665058847211532)	(6, 0.029507039131161962)	(7, 0.03240196050615536)	(8, 0.03577295699098987)	(9, 0.04089917989089513)	(10, 0.04421727914130284)	(11, 0.04753056955221722)	(12, 0.05080058040769149)	(13, 0.05351757472143114)	(14, 0.05744639658749361)	(15, 0.060629848332087684)	(16, 0.06353438738606777)	(17, 0.06652067671143472)	(18, 0.06976183452994893)	(19, 0.07279140341075598)	(20, 0.07555648611942907)	(21, 0.07874474670351649)	(22, 0.08250045034781855)	(23, 0.08531843029091844)	(24, 0.08863652954132616)	(25, 0.09182479012541357)	(26, 0.09553721421427554)	(27, 0.0990765200813771)	(28, 0.10462111201720334)	(29, 0.10831910958758527)	(30, 0.11202191599746054)	(31, 0.11559969258050887)	(32, 0.11915823380558381)	(33, 0.12340443907820703)	(34, 0.1268042886000016)	(35, 0.1306705955526506)	(36, 0.13421951909873883)	(37, 0.13761455978104006)	(38, 0.14101921814232798)	(39, 0.14438540578766915)	(40, 0.14840078676461183)	(41, 0.15281049258000876)	(42, 0.1587686447122626)	(43, 0.163101409095766)	(44, 0.16623196360593331)	(45, 0.1706609047793036)	(46, 0.17347407588291014)	(47, 0.17673927789889107)	(48, 0.17985059705108497)	(49, 0.1839044487439744)	(50, 0.1875639755984096)	(51, 0.1904059997389762)	(52, 0.1904059997389762)
SRX384346_2 - polya	(1, 0.010598682243331319)	(2, 0.013503221297311407)	(3, 0.01823031051926907)	(4, 0.022726575445546193)	(5, 0.02557821726509949)	(6, 0.028328873455292555)	(7, 0.03126226554623271)	(8, 0.03479195373434759)	(9, 0.03902373248849077)	(10, 0.04645338950570804)	(11, 0.050146578236596635)	(12, 0.05393594375735211)	(13, 0.05709054246498612)	(14, 0.061269423984702504)	(15, 0.06494337735761771)	(16, 0.06854519813813276)	(17, 0.07195466533891402)	(18, 0.07540741209513539)	(19, 0.07919196877639752)	(20, 0.08242350891592504)	(21, 0.08592915290657319)	(22, 0.09044946203031703)	(23, 0.0935126927875775)	(24, 0.09709046937062582)	(25, 0.1011058503475685)	(26, 0.10539533517563181)	(27, 0.1090356266720936)	(28, 0.11507552907573432)	(29, 0.11939867578025104)	(30, 0.12342848327567374)	(31, 0.12739577585768297)	(32, 0.1313390242422255)	(33, 0.13611901069860993)	(34, 0.1401440093545393)	(35, 0.1442796113188156)	(36, 0.14812668291349118)	(37, 0.1519497103107001)	(38, 0.1557775465474023)	(39, 0.1596871330554914)	(40, 0.16394295600710132)	(41, 0.16902109051207312)	(42, 0.17523891997696758)	(43, 0.1798121263351382)	(44, 0.18319274049895942)	(45, 0.18821797776950444)	(46, 0.19470029340653286)	(47, 0.1989416898396627)	(48, 0.20219727417665695)	(49, 0.20680895125077434)	(50, 0.21073296427734348)	(51, 0.21366635636828363)	(52, 0.21366635636828363)
SRX384349_1 - polya	(1, 0.013289631938831504)	(2, 0.016605732124273593)	(3, 0.019993921444181814)	(4, 0.02437333636299936)	(5, 0.027487586971936276)	(6, 0.0303855701774748)	(7, 0.0331646063111442)	(8, 0.03672580955377114)	(9, 0.04033747519052437)	(10, 0.044810605984147885)	(11, 0.04851598749570709)	(12, 0.05223939129088283)	(13, 0.05552665582253847)	(14, 0.06020884510611377)	(15, 0.06404759151643531)	(16, 0.067958427061223)	(17, 0.07169624868329195)	(18, 0.07510606474354002)	(19, 0.07852308971723469)	(20, 0.08132375259124394)	(21, 0.08450288342120038)	(22, 0.08871649333074581)	(23, 0.09188120633380903)	(24, 0.09508196390410531)	(25, 0.09844852648367368)	(26, 0.10152673252537754)	(27, 0.10413996364977483)	(28, 0.10809405267524219)	(29, 0.11132364589932493)	(30, 0.11450277672928137)	(31, 0.11752331146341231)	(32, 0.12103765676863627)	(33, 0.12446909956922417)	(34, 0.12765183485590392)	(35, 0.13129954505989022)	(36, 0.1342876396835114)	(37, 0.13775512705133236)	(38, 0.14084775091992943)	(39, 0.14449906558063905)	(40, 0.14905509887889862)	(41, 0.1528001294144142)	(42, 0.15733453597233393)	(43, 0.1610291041137232)	(44, 0.16416498146299996)	(45, 0.16857323203560395)	(46, 0.17125134338102077)	(47, 0.17445570540804037)	(48, 0.17738612872408865)	(49, 0.18113836817305085)	(50, 0.18507443491490166)	(51, 0.18741733178505096)	(52, 0.18741733178505096)
SRX384349_2 - polya	(1, 0.015099069213931428)	(2, 0.018894562143573296)	(3, 0.02274051746734146)	(4, 0.027437124577809984)	(5, 0.030875776291844497)	(6, 0.034249547784859495)	(7, 0.037435887528262546)	(8, 0.04138276764028329)	(9, 0.04579101821288729)	(10, 0.050620990222118155)	(11, 0.05507249427540183)	(12, 0.05909506797861202)	(13, 0.06286532971119074)	(14, 0.06853514013695206)	(15, 0.07272351884943434)	(16, 0.07722188084012101)	(17, 0.08146072194672958)	(18, 0.08515889454484218)	(19, 0.08910937911358624)	(20, 0.09222002526579985)	(21, 0.09616690537782059)	(22, 0.10079502781054629)	(23, 0.10438146225023638)	(24, 0.10801115017060614)	(25, 0.11151828656238348)	(26, 0.1148452001179955)	(27, 0.11797026409710233)	(28, 0.12258396870293481)	(29, 0.12624609673381434)	(30, 0.12980729997644128)	(31, 0.13320630266651942)	(32, 0.13698737776926806)	(33, 0.14081891526614299)	(34, 0.14434767839826018)	(35, 0.14808550002032914)	(36, 0.1515385695612569)	(37, 0.1551502351980101)	(38, 0.15877271420493327)	(39, 0.16251053582700223)	(40, 0.16770095350856376)	(41, 0.17161539351007474)	(42, 0.1770437053353745)	(43, 0.1810770924087546)	(44, 0.1844472594450463)	(45, 0.1890213150269224)	(46, 0.1918940670353978)	(47, 0.19548050147508786)	(48, 0.1986452144781511)	(49, 0.20297416700284232)	(50, 0.20727788833047042)	(51, 0.2098082169502317)	(52, 0.2098082169502317)
SRX384350_1 - polya	(1, 0.018203337819213503)	(2, 0.022566571385587483)	(3, 0.027220283746948914)	(4, 0.032521521755469865)	(5, 0.03608593863562836)	(6, 0.0392327922479924)	(7, 0.042452265559103294)	(8, 0.046676311369545795)	(9, 0.05129371388153379)	(10, 0.056473919058809975)	(11, 0.06102475351361335)	(12, 0.06576924049840836)	(13, 0.06926103767981999)	(14, 0.07436862315834931)	(15, 0.07875001164941)	(16, 0.08291354104423011)	(17, 0.08761566653808946)	(18, 0.09153713027042003)	(19, 0.09561593668336879)	(20, 0.09913799207259162)	(21, 0.10277502865149697)	(22, 0.10822150605751166)	(23, 0.11167699338954985)	(24, 0.11521115206189715)	(25, 0.11892685998111162)	(26, 0.12256994820157921)	(27, 0.1259467641933083)	(28, 0.1307033544612278)	(29, 0.1350060716119794)	(30, 0.1392482723471086)	(31, 0.14290346385070068)	(32, 0.14680677265834452)	(33, 0.1512789357728388)	(34, 0.15493412727643088)	(35, 0.15898267548156844)	(36, 0.16251683415391577)	(37, 0.16649276266030646)	(38, 0.17017821237170974)	(39, 0.17445067131465014)	(40, 0.17902571233570247)	(41, 0.1837096829048751)	(42, 0.1890956438952674)	(43, 0.19348308402789033)	(44, 0.19688410658586838)	(45, 0.20208246668783128)	(46, 0.20535640477300232)	(47, 0.20917499059877484)	(48, 0.21237025734363676)	(49, 0.21738706819873252)	(50, 0.22213760682508976)	(51, 0.22509080790746216)	(52, 0.22509080790746216)
SRX384350_2 - polya	(1, 0.020091449986631923)	(2, 0.02525350023922139)	(3, 0.03065156451273816)	(4, 0.03680003233997251)	(5, 0.04053994682543592)	(6, 0.04448561712401544)	(7, 0.04821342832635438)	(8, 0.05323629082301236)	(9, 0.05834387630154168)	(10, 0.06425027846628649)	(11, 0.0695454648332452)	(12, 0.07449570763115632)	(13, 0.07905259372752194)	(14, 0.0855339018406794)	(15, 0.0906838488101444)	(16, 0.09543438743650164)	(17, 0.10098374274907437)	(18, 0.10528040825826372)	(19, 0.11024275433929932)	(20, 0.11421868284569003)	(21, 0.11896316983048505)	(22, 0.12492403676929)	(23, 0.12883944886005833)	(24, 0.1331240110861232)	(25, 0.13782613657998255)	(26, 0.1420441307488628)	(27, 0.14571142553557936)	(28, 0.15149074322751716)	(29, 0.15625338513699888)	(30, 0.1608768392905491)	(31, 0.16508878181786713)	(32, 0.16957304821548588)	(33, 0.17427517370934523)	(34, 0.17849921951978773)	(35, 0.18311662203177573)	(36, 0.1871651702369133)	(37, 0.19144368082141594)	(38, 0.1958069143877899)	(39, 0.2005150915232115)	(40, 0.20565898685111425)	(41, 0.21060317800746312)	(42, 0.21711474432843178)	(43, 0.22213760682508976)	(44, 0.22614379353929168)	(45, 0.23247986225495543)	(46, 0.23568723228294183)	(47, 0.24008677569868925)	(48, 0.24368145078665893)	(49, 0.24957574966827928)	(50, 0.2549798655833583)	(51, 0.25836878485821185)	(52, 0.25836878485821185)
SRX384353_1 - polya	(1, 0.012814718132923182)	(2, 0.015994141501953628)	(3, 0.019281784680493328)	(4, 0.02363669908384841)	(5, 0.026487731306781816)	(6, 0.029540276278456585)	(7, 0.03228682040945002)	(8, 0.035940171909779606)	(9, 0.040317476618550396)	(10, 0.044978391862586814)	(11, 0.04914672038747767)	(12, 0.05308368242307288)	(13, 0.056651204419308925)	(14, 0.06173007203110521)	(15, 0.0655774728450376)	(16, 0.06980924056860628)	(17, 0.07368649512309294)	(18, 0.07738835895182322)	(19, 0.08070958758848648)	(20, 0.08363152244523629)	(21, 0.08729233738070445)	(22, 0.09106510384325114)	(23, 0.09428184438797443)	(24, 0.09755829241380629)	(25, 0.10042425150701682)	(26, 0.10340962556244447)	(27, 0.10602555957851295)	(28, 0.11001849737764743)	(29, 0.11326135994535572)	(30, 0.11641466129140117)	(31, 0.1196463287064016)	(32, 0.12294143532007987)	(33, 0.12662837227853302)	(34, 0.1299682595030427)	(35, 0.13326709783429025)	(36, 0.13649503353172138)	(37, 0.1397378960994297)	(38, 0.14269714813187234)	(39, 0.14603703535638202)	(40, 0.1505859990733399)	(41, 0.15417591137499165)	(42, 0.15854575264862386)	(43, 0.16209834777458276)	(44, 0.16500908747862472)	(45, 0.16881917111686426)	(46, 0.17148361746133345)	(47, 0.1746107967843939)	(48, 0.17749914618302015)	(49, 0.18102188756842477)	(50, 0.18468270250389293)	(51, 0.18705607487795792)	(52, 0.18705607487795792)
SRX384353_2 - polya	(1, 0.013437914966993704)	(2, 0.01650165509137633)	(3, 0.02019232376739876)	(4, 0.024976385691221566)	(5, 0.028006540357480632)	(6, 0.031189695444080363)	(7, 0.034372850530680094)	(8, 0.03845161783390812)	(9, 0.0428065322372632)	(10, 0.047702545688164545)	(11, 0.05212089929019746)	(12, 0.05669971674770962)	(13, 0.06032694622505422)	(14, 0.06617454765612313)	(15, 0.07038019335670682)	(16, 0.07524635306705389)	(17, 0.0795452917068697)	(18, 0.08362032729252844)	(19, 0.08752743558756938)	(20, 0.09085239594180193)	(21, 0.09502445618426206)	(22, 0.09939429745789428)	(23, 0.10303645380551602)	(24, 0.10670846389369203)	(25, 0.11013044890472597)	(26, 0.1134068969305578)	(27, 0.1163586855278619)	(28, 0.12080316115287981)	(29, 0.12447517124105582)	(30, 0.1279120831223669)	(31, 0.13143482450777152)	(32, 0.13483441921338976)	(33, 0.13890572308147922)	(34, 0.14249936710070024)	(35, 0.14619376749429197)	(36, 0.14951126441338594)	(37, 0.15298922518795915)	(38, 0.1566761621464123)	(39, 0.16043773345625115)	(40, 0.16541211297610744)	(41, 0.16949088027933548)	(42, 0.17478245579258098)	(43, 0.17914483363107464)	(44, 0.18268623360432568)	(45, 0.18699263567928007)	(46, 0.18980635072652063)	(47, 0.19342984848629594)	(48, 0.19653836922150997)	(49, 0.2005984779368916)	(50, 0.20496085577538523)	(51, 0.2077521805172101)	(52, 0.2077521805172101)
