Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
SRX384345_1	(1, 2.1999890352546482e-05)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0003167984210766694)	(8, 0.0003959980263458367)	(9, 0.0019623902194471463)	(10, 0.005715571513591576)	(11, 0.003132784386202619)	(12, 0.0)	(13, 0.0015223924123962166)	(14, 0.01175674140440084)	(15, 0.17610032231599357)	(16, 0.2147717295776998)	(17, 0.255577126203603)	(18, 0.2561931231334743)	(19, 0.29116854881595267)	(20, 0.29919410881656167)	(21, 0.23856355035024457)	(22, 0.30031981315273026)	(23, 0.26943818180264917)	(24, 0.13813873472231186)	(25, 0.023243544804939953)	(26, 0.002111282854249902)	(27, 0.0005290900079544273)	(28, 0.0)	(29, 0.0003000080428626785)	(30, 0.0)	(31, 0.0)	(32, 1.324893877104522e-05)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 5.3114416952422235e-05)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0009515467080485734)	(51, 0.0)	(52, 0.0003250250981709369)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRX384345_2	(1, 0.0027851861186323846)	(2, 0.0038719807020481814)	(3, 0.01777591140485756)	(4, 0.012108739650041585)	(5, 0.00706636478123793)	(6, 0.008808756097159611)	(7, 0.013952330461584977)	(8, 0.0085667573032816)	(9, 10.666624837541809)	(10, 0.016530717610903425)	(11, 0.010062749847254762)	(12, 0.012707136667630849)	(13, 0.005741971382014632)	(14, 0.0027191864475747452)	(15, 0.0016411918202999677)	(16, 0.0007567962281275991)	(17, 0.004197579079265869)	(18, 0.005108374539861293)	(19, 0.0028247859212669683)	(20, 0.0013815931141399193)	(21, 0.0024953954013427603)	(22, 0.0021570022985720823)	(23, 0.00014530153613224306)	(24, 0.007420971498096399)	(25, 0.0015418417978685932)	(26, 0.00042741936656538)	(27, 0.0001939291792674722)	(28, 0.002482042007260436)	(29, 0.002548831847874426)	(30, 0.003414063134761012)	(31, 0.0027443290007496605)	(32, 0.001999213289710764)	(33, 0.0013861472505107113)	(34, 0.0029982182017543857)	(35, 0.0036836442177408278)	(36, 3.9763388399146306e-05)	(37, 0.00012374614768298375)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 8.4554466716536e-05)	(49, 0.0010244590032441499)	(50, 0.0024070439734840032)	(51, 0.0017353548983670892)	(52, 0.006017201960884167)	(53, 0.011641733357380975)	(54, 0.008080429934506791)	(55, 0.02046180703765772)	(56, 0.007060082334950002)	(57, 0.012103004674470372)	(58, 0.00011726646811348833)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRX384346_1	(1, 1.923535797337807e-05)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0003798983199742169)	(8, 0.0004376043938943512)	(9, 0.0021351247350449663)	(10, 0.006126461514520916)	(11, 0.003130554510167281)	(12, 0.0)	(13, 0.0015821081933103463)	(14, 0.011863407030080925)	(15, 0.17543127355670135)	(16, 0.21394526905889763)	(17, 0.2550271848505398)	(18, 0.2551425969983801)	(19, 0.29045871423750225)	(20, 0.29809034251344)	(21, 0.23780103811454661)	(22, 0.29971226371676796)	(23, 0.2686189651698747)	(24, 0.1372726554045186)	(25, 0.024056932138645373)	(26, 0.0023173449220492866)	(27, 0.0004482087337953867)	(28, 0.0)	(29, 0.00026042962786342375)	(30, 0.0)	(31, 0.0)	(32, 1.9312073990735323e-05)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 7.743492550348794e-05)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0011237019782797649)	(51, 0.0)	(52, 0.000311833197694013)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRX384346_2	(1, 0.002822788782593232)	(2, 0.003986527939982606)	(3, 0.018384193383056094)	(4, 0.01227215838701521)	(5, 0.0073046271903903235)	(6, 0.008915588420660737)	(7, 0.014436136159020244)	(8, 0.00888673538370067)	(9, 10.668848020378707)	(10, 0.016672246523425444)	(11, 0.010512123132451116)	(12, 0.012829983768243174)	(13, 0.0060254758851606815)	(14, 0.0027698915481664424)	(15, 0.0017648440940574383)	(16, 0.0009136795037354585)	(17, 0.004366426259956822)	(18, 0.005611915688733053)	(19, 0.003183451744594071)	(20, 0.00139456345306991)	(21, 0.0025349704464294603)	(22, 0.002222892511455234)	(23, 0.00017325670189408557)	(24, 0.007283481074550785)	(25, 0.0013627130412841861)	(26, 0.0005298211776460546)	(27, 0.00021681426418153192)	(28, 0.0025109110168317307)	(29, 0.0022802155435207097)	(30, 0.0035540295678864256)	(31, 0.0025758378020983817)	(32, 0.001992793614375135)	(33, 0.0012114929265947749)	(34, 0.003109285194646081)	(35, 0.0037718960133184152)	(36, 1.932436045304417e-05)	(37, 0.0001208181515257762)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0001071053963349994)	(49, 0.001111070555952904)	(50, 0.0023264211799725277)	(51, 0.0017232598882897998)	(52, 0.00598726151414224)	(53, 0.011754553723441473)	(54, 0.008122845801835959)	(55, 0.020835322260467182)	(56, 0.00730534623414341)	(57, 0.011964117933658843)	(58, 0.00014863907548873272)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRX384349_1	(1, 0.0003424233887141288)	(2, 0.0006055487295155119)	(3, 0.0010741281035453725)	(4, 0.0002811476244179163)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.00015859609582549123)	(9, 0.0001333648987623449)	(10, 9.011141808266547e-05)	(11, 0.0011173815842250518)	(12, 0.0)	(13, 0.0003856768693938082)	(14, 0.0048443898361240955)	(15, 0.0016688634628909645)	(16, 0.005388662801343395)	(17, 0.0014742227998324072)	(18, 0.003067392671533933)	(19, 0.008182116761906024)	(20, 0.008729994183848632)	(21, 0.005570696592713175)	(22, 0.005651959477001502)	(23, 0.011769758554335928)	(24, 0.01546660435267424)	(25, 0.01696757726720179)	(26, 0.009601814070949169)	(27, 0.002786339578106989)	(28, 0.0002133202284811502)	(29, 0.0018086468294041262)	(30, 0.0015200145197577458)	(31, 0.0028243322889218068)	(32, 0.0007825354605400516)	(33, 0.001547804859288045)	(34, 0.00022123860104376748)	(35, 0.0021555592344411627)	(36, 0.005010750419786509)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 8.373912524580619e-05)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 2.2219495807792177e-05)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0017744296897117765)	(60, 9.704054291777158e-05)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRX384349_2	(1, 7.208913446613238e-06)	(2, 0.0)	(3, 3.604456723306619e-05)	(4, 3.604456723306619e-06)	(5, 3.604456723306619e-06)	(6, 3.604456723306619e-06)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 3.604456723306619e-06)	(12, 3.604456723306619e-06)	(13, 3.604456723306619e-06)	(14, 1.4417826893226476e-05)	(15, 7.208913446613238e-06)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 3.6093258483133887e-06)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 3.6418653692691243e-06)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRX384350_1	(1, 0.0016884079958645502)	(2, 0.0037641210517123666)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0001754976053049174)	(13, 0.0)	(14, 0.0)	(15, 0.0017186662036757431)	(16, 0.0010529856318295045)	(17, 1.2103283124477062e-05)	(18, 4.236149093566972e-05)	(19, 0.0005506993821637063)	(20, 0.00047202804185460544)	(21, 0.002657656384159811)	(22, 0.0012051992173109244)	(23, 0.002393209972548367)	(24, 0.006734214903284309)	(25, 0.014741669971060604)	(26, 0.0008918270782483012)	(27, 0.0055964664808987805)	(28, 2.429249623010824e-05)	(29, 0.0)	(30, 3.647859922178988e-05)	(31, 0.0006448240822571666)	(32, 0.002306909681442555)	(33, 0.002765182695437966)	(34, 0.0027549720540998492)	(35, 0.0011466486114237796)	(36, 0.0012085534085692418)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 1.2247324679087943e-05)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 4.944316795232294e-05)	(49, 0.0)	(50, 0.0)	(51, 6.208475002972307e-06)	(52, 0.0)	(53, 0.0)	(54, 8.118529024959044e-05)	(55, 1.2524407722324363e-05)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0003448865428655971)	(60, 0.0001162941324118531)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRX384350_2	(1, 6.051641562238531e-06)	(2, 0.0)	(3, 1.2103283124477062e-05)	(4, 6.051641562238531e-06)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 6.051641562238531e-06)	(13, 3.025820781119266e-05)	(14, 6.051641562238531e-06)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 6.074810809129566e-06)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 6.109274764938017e-06)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRX384353_1	(1, 2.2390305415707367e-05)	(2, 9.70246568013986e-05)	(3, 0.0003321228636663259)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00018658587846422805)	(11, 0.0001716590081870898)	(12, 0.701674854552576)	(13, 0.0)	(14, 9.329293923211403e-05)	(15, 0.00016046385547923613)	(16, 0.004291475204677245)	(17, 3.731717569284561e-06)	(18, 3.358545812356105e-05)	(19, 0.00019778103117208172)	(20, 0.001410589241189564)	(21, 0.0005898304274852019)	(22, 0.0017590028642243242)	(23, 0.001666319205487047)	(24, 0.002900493053917176)	(25, 0.0021689001851193704)	(26, 0.0007220685280445992)	(27, 0.00024330973104168006)	(28, 0.0002134830661112112)	(29, 0.00021735186655224965)	(30, 0.00019873741743725852)	(31, 0.002014895216068433)	(32, 0.0012277423822527472)	(33, 0.0005184682329441704)	(34, 0.0006053029349447474)	(35, 0.0010195623925344556)	(36, 0.0007981876622024633)	(37, 3.3912955992664246e-05)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 7.620711111415939e-06)	(48, 3.816180828049417e-06)	(49, 3.822300485948173e-06)	(50, 0.0)	(51, 1.1508659863744372e-05)	(52, 6.535223837759454e-05)	(53, 0.0)	(54, 0.0)	(55, 0.00464203510541957)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRX384353_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 3.731717569284561e-06)	(11, 0.0)	(12, 3.731717569284561e-06)	(13, 3.731717569284561e-06)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)
