Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
SRX384345_1	(1, 38.32056572630042)	(2, 39.99636830210038)	(3, 40.048821936671466)	(4, 40.07536841236383)	(5, 40.09513909782674)	(6, 40.08480011735622)	(7, 40.13883880002742)	(8, 40.03829239315071)	(9, 40.060221003858516)	(10, 39.9824061596877)	(11, 39.77945673118765)	(12, 39.81367910062336)	(13, 39.86830390437334)	(14, 39.748618780883994)	(15, 39.620699890431744)	(16, 39.46478077153264)	(17, 39.32832737561636)	(18, 39.19519706313784)	(19, 39.077074811859134)	(20, 39.13088130768756)	(21, 39.14859135716451)	(22, 39.120003208388866)	(23, 39.017420345845785)	(24, 39.03876483003672)	(25, 39.128992199995125)	(26, 39.22444849677542)	(27, 39.11819707641616)	(28, 39.16445370037828)	(29, 39.18362786402347)	(30, 39.14602754650336)	(31, 39.09590608163114)	(32, 38.87155635239581)	(33, 38.84472245252447)	(34, 38.70623066809559)	(35, 38.73130279481132)	(36, 38.57404109096541)	(37, 38.55878576932399)	(38, 38.6906214404573)	(39, 38.714368813055664)	(40, 38.66593093822445)	(41, 38.62646145843917)	(42, 38.43559747897682)	(43, 38.39157445196721)	(44, 38.31342589454006)	(45, 38.20879846473315)	(46, 38.13323098593287)	(47, 37.96481768205989)	(48, 37.76556101416044)	(49, 37.66645283184557)	(50, 37.58897588673926)	(51, 37.47206813004111)	(52, 37.24055517136303)	(53, 37.145283126398915)	(54, 36.94155114809735)	(55, 36.79996289240821)	(56, 36.693877671425255)	(57, 36.53932261093602)	(58, 36.40851249554621)	(59, 36.26145729424216)	(60, 36.022538099369264)	(61, 35.93373785674411)	(62, 35.888466808435425)	(63, 35.20439952477496)
SRX384345_2	(1, 38.32588890776968)	(2, 39.99405567362652)	(3, 39.926088684373994)	(4, 40.000088263560095)	(5, 39.952320077636735)	(6, 39.92926287255384)	(7, 39.9168542743983)	(8, 39.88805087395444)	(9, 34.241168254017424)	(10, 36.2177845705617)	(11, 38.365516562265455)	(12, 39.21381398635109)	(13, 39.44873453550707)	(14, 39.55372131225298)	(15, 39.58680091938422)	(16, 39.67485218053673)	(17, 39.632033353945765)	(18, 39.51630275474707)	(19, 39.53589220511325)	(20, 39.41515443087032)	(21, 39.606963473484775)	(22, 39.641109373574835)	(23, 39.654298717326476)	(24, 39.48468795937905)	(25, 39.539807359642616)	(26, 39.52380789764355)	(27, 39.47294641670665)	(28, 39.40511686846888)	(29, 39.38962713632789)	(30, 39.278053475873556)	(31, 39.23109169451771)	(32, 39.211995473922336)	(33, 39.231688685807036)	(34, 39.276062861729066)	(35, 39.26798167170576)	(36, 39.20752150116865)	(37, 39.158730686264754)	(38, 39.07167416223939)	(39, 37.436445256780175)	(40, 38.09503550322006)	(41, 38.45235448297236)	(42, 38.61851956077992)	(43, 38.598763176783876)	(44, 38.507965216105035)	(45, 38.42851161369315)	(46, 38.285977857484426)	(47, 38.16641301311831)	(48, 37.96161623281992)	(49, 37.818930479053954)	(50, 37.6532815854539)	(51, 37.50774441157729)	(52, 37.34356507825043)	(53, 37.035954015869656)	(54, 36.93570750512665)	(55, 36.801721900368655)	(56, 36.63920924199853)	(57, 36.44367188232025)	(58, 36.23002746831708)	(59, 36.28838771729847)	(60, 36.153537049759024)	(61, 36.12535692975182)	(62, 35.98254332654559)	(63, 35.2716511591532)
SRX384346_1	(1, 38.31877744104146)	(2, 39.995064543762794)	(3, 40.04876124775535)	(4, 40.07746492216076)	(5, 40.09848825474616)	(6, 40.083142959392525)	(7, 40.13848919150809)	(8, 40.04120054986194)	(9, 40.061374208597265)	(10, 39.980890585532954)	(11, 39.7845171526015)	(12, 39.818326035278226)	(13, 39.867895312333644)	(14, 39.74924873905015)	(15, 39.620596653874834)	(16, 39.46642925105499)	(17, 39.33566521975098)	(18, 39.19077156771726)	(19, 39.0791302713657)	(20, 39.12749060617249)	(21, 39.15455941894523)	(22, 39.121279729505474)	(23, 39.02123457201309)	(24, 39.043551666120855)	(25, 39.142340845935166)	(26, 39.237285520935046)	(27, 39.12705103087768)	(28, 39.17951337430009)	(29, 39.16872034719321)	(30, 39.1125055131906)	(31, 39.08287934252159)	(32, 38.8778051692725)	(33, 38.85068135859546)	(34, 38.70819843677096)	(35, 38.73734776891432)	(36, 38.57982226766684)	(37, 38.56912877890178)	(38, 38.70305029033566)	(39, 38.7315266281044)	(40, 38.682730404362644)	(41, 38.628274039229)	(42, 38.451147659360956)	(43, 38.411999317349796)	(44, 38.3399329679003)	(45, 38.23557159384244)	(46, 38.164201955929386)	(47, 37.99330673022044)	(48, 37.80255040811457)	(49, 37.707171009967325)	(50, 37.63153958067528)	(51, 37.50219755922598)	(52, 37.2619795473478)	(53, 37.178882041252834)	(54, 36.984920054156945)	(55, 36.841889679039596)	(56, 36.73016950645544)	(57, 36.573906082982845)	(58, 36.43824893289537)	(59, 36.29196240646761)	(60, 36.05793444899025)	(61, 35.97261777992942)	(62, 35.92759418790458)	(63, 35.243656971447216)
SRX384346_2	(1, 38.04109432259754)	(2, 39.61349505588785)	(3, 39.55393988700574)	(4, 39.631829814400916)	(5, 39.57469834871184)	(6, 39.574718161130555)	(7, 39.49331874267313)	(8, 39.47841677423239)	(9, 33.97075138790321)	(10, 35.981049613855)	(11, 38.09890369038999)	(12, 38.8465165103329)	(13, 39.069918266078666)	(14, 39.226534618498896)	(15, 39.24156656987114)	(16, 39.360026512093896)	(17, 39.269692125592655)	(18, 39.103101614914095)	(19, 39.15975782299604)	(20, 39.09023080409855)	(21, 39.26538620034242)	(22, 39.32975465280993)	(23, 39.29940014198387)	(24, 39.16093912906511)	(25, 39.224384714597086)	(26, 39.18997470441035)	(27, 39.2047721108632)	(28, 39.10017465048818)	(29, 39.20317708746863)	(30, 39.05046177067347)	(31, 39.01315843105237)	(32, 38.993519319362065)	(33, 38.98070873687672)	(34, 39.047734818142544)	(35, 39.02546078104714)	(36, 38.99928301791629)	(37, 39.01574352336176)	(38, 38.88805228059986)	(39, 37.26681761581274)	(40, 37.881584369296775)	(41, 38.26188547273335)	(42, 38.44659175525863)	(43, 38.42006294591942)	(44, 38.328304274378404)	(45, 38.22534742654589)	(46, 38.08881452885982)	(47, 37.9919250274982)	(48, 37.808323647191905)	(49, 37.70359663772506)	(50, 37.55448810052636)	(51, 37.40198385779015)	(52, 37.25050379332639)	(53, 36.96110293458768)	(54, 36.88803777709482)	(55, 36.77071924292244)	(56, 36.61793503497354)	(57, 36.430546119201686)	(58, 36.219858051664765)	(59, 36.282546460687065)	(60, 36.15131392172563)	(61, 36.12636554540524)	(62, 35.987137888570125)	(63, 35.25608815586621)
SRX384349_1	(1, 38.127140110134896)	(2, 39.708070508363924)	(3, 39.60129049643173)	(4, 39.58648587528753)	(5, 39.69268802071784)	(6, 39.6541270020234)	(7, 39.641208881439034)	(8, 39.567501021503034)	(9, 39.57445135122432)	(10, 39.38662624725016)	(11, 39.45045933754699)	(12, 39.53226093296605)	(13, 39.54259494643633)	(14, 39.50495501061296)	(15, 39.431643424649124)	(16, 39.31355457392582)	(17, 39.27701792626089)	(18, 39.26131240720326)	(19, 39.19968675829292)	(20, 39.27057939334975)	(21, 39.29203909958361)	(22, 39.33221655134673)	(23, 39.300919639574055)	(24, 39.158158428055906)	(25, 39.15387440490258)	(26, 39.156434611628114)	(27, 39.16435489625276)	(28, 39.07495223163511)	(29, 39.037697155617096)	(30, 38.960620404783484)	(31, 38.88136059094011)	(32, 38.813107599386626)	(33, 38.80469279933993)	(34, 38.61501143078195)	(35, 38.57219526724834)	(36, 38.56444883470097)	(37, 38.5129337157084)	(38, 38.36530202744301)	(39, 38.33587360991064)	(40, 38.167967323391366)	(41, 38.046338541301736)	(42, 38.009340631951375)	(43, 37.894101942624566)	(44, 37.80003520002829)	(45, 37.64718299458678)	(46, 37.524022632393006)	(47, 37.39810356991241)	(48, 37.284655005647636)	(49, 36.87690634380901)	(50, 36.82231451867619)	(51, 36.73442842215533)	(52, 36.65944358058422)	(53, 36.473129853897454)	(54, 36.29772476436502)	(55, 36.11769547230376)	(56, 36.00465725469104)	(57, 35.840712853965016)	(58, 35.72616422623449)	(59, 35.71214923007114)	(60, 35.62349526993341)	(61, 35.55916495191344)	(62, 35.499228704194834)	(63, 33.92346947831099)
SRX384349_2	(1, 38.1519381596336)	(2, 39.66041407566303)	(3, 39.62946404756268)	(4, 39.63690148356555)	(5, 39.61423392030229)	(6, 39.58912451783183)	(7, 39.59078891176838)	(8, 39.525850406683645)	(9, 39.47943365478359)	(10, 39.38163868839299)	(11, 39.325025108645534)	(12, 39.306245744938835)	(13, 39.22180201065247)	(14, 39.20238058506965)	(15, 38.956295313427695)	(16, 39.17783037801524)	(17, 39.162949234254796)	(18, 39.130151057014146)	(19, 39.1241601255389)	(20, 39.07822651501804)	(21, 39.21016259489763)	(22, 39.21374060975873)	(23, 39.263304724011995)	(24, 39.23427927048258)	(25, 39.20820665728044)	(26, 39.15440214337041)	(27, 39.09201257336412)	(28, 39.08795186098674)	(29, 39.01669716733064)	(30, 38.95674343463298)	(31, 38.95056394319946)	(32, 38.87598737351788)	(33, 38.77515980541639)	(34, 38.72319954939281)	(35, 38.65113313301245)	(36, 38.503189728361484)	(37, 38.43957883138076)	(38, 38.37027986047071)	(39, 36.608644880523975)	(40, 37.29551764007083)	(41, 37.66888968205919)	(42, 37.957179463170554)	(43, 37.97844968099942)	(44, 37.979916816920465)	(45, 37.8524115440495)	(46, 37.787380220110826)	(47, 37.63825889962743)	(48, 37.50083831571338)	(49, 37.365502319670824)	(50, 37.259851461397)	(51, 37.085913582434614)	(52, 36.94816121844623)	(53, 36.779421592241036)	(54, 36.66154709866341)	(55, 36.518283795421354)	(56, 36.39564631296064)	(57, 36.23754101300101)	(58, 36.06348110332016)	(59, 35.99399910776238)	(60, 35.90266929254946)	(61, 35.77285653091829)	(62, 35.74799761817482)	(63, 34.501388932041536)
SRX384350_1	(1, 37.81378088288851)	(2, 39.25418467988208)	(3, 39.136578651188344)	(4, 39.071222858841466)	(5, 39.20470984738849)	(6, 39.15804757582737)	(7, 39.213506695112606)	(8, 39.16783435107824)	(9, 39.17488106406255)	(10, 39.00448493207819)	(11, 38.98890607017169)	(12, 39.030052996645814)	(13, 39.064448227661785)	(14, 38.98604352267992)	(15, 38.96188700350668)	(16, 38.89968581087337)	(17, 38.81970997870911)	(18, 38.76850304536758)	(19, 38.586485219894264)	(20, 38.74624510770167)	(21, 38.74966602219004)	(22, 38.76528079052348)	(23, 38.73878513027756)	(24, 38.65315029118963)	(25, 38.70511038697096)	(26, 38.67901153526758)	(27, 38.58783802854817)	(28, 38.47359958314077)	(29, 38.495816807084715)	(30, 38.43751732733463)	(31, 38.33799640504491)	(32, 38.37171838293544)	(33, 38.36163497822114)	(34, 38.07740295123334)	(35, 38.13296049362491)	(36, 38.062168963945616)	(37, 37.75087743711151)	(38, 37.860834085689355)	(39, 37.895146524824945)	(40, 37.697439090533265)	(41, 37.482793689149894)	(42, 37.43594339640584)	(43, 37.52186473797411)	(44, 37.48932924748712)	(45, 37.30295943453567)	(46, 36.935196373542304)	(47, 36.94172479124341)	(48, 36.86608583717141)	(49, 36.32709551251507)	(50, 36.1711993161306)	(51, 36.1483096650745)	(52, 36.184771126924794)	(53, 36.1672546063828)	(54, 36.04379827753541)	(55, 35.91116857170214)	(56, 35.6220410638455)	(57, 35.40843516860907)	(58, 35.42126259121308)	(59, 35.372861759318624)	(60, 35.234499106634935)	(61, 35.15015958509208)	(62, 35.21445864518695)	(63, 33.88566801213712)
SRX384350_2	(1, 37.659750205180906)	(2, 38.98987378817391)	(3, 39.086235347614156)	(4, 39.06135656502047)	(5, 39.02848894988406)	(6, 39.01437234612824)	(7, 39.00270060556357)	(8, 38.943145432686926)	(9, 38.911344600925105)	(10, 38.71612693487623)	(11, 38.65080836012496)	(12, 38.59176818194527)	(13, 38.65544385704522)	(14, 38.415281677892665)	(15, 38.398796643178635)	(16, 38.58000578778999)	(17, 38.5600799107165)	(18, 38.464555172271474)	(19, 38.48457061364009)	(20, 38.37957971591416)	(21, 38.58708120713492)	(22, 38.38026177924504)	(23, 38.57439693737289)	(24, 38.51338145992126)	(25, 38.4044280258223)	(26, 38.45531928051399)	(27, 38.47237846063707)	(28, 38.50744353387311)	(29, 38.339084088391765)	(30, 38.28179302582187)	(31, 38.273291994405476)	(32, 38.27690605492938)	(33, 38.24552448276589)	(34, 38.18938188789023)	(35, 38.11956503042244)	(36, 37.97449496856024)	(37, 37.9559061258108)	(38, 37.838293201711686)	(39, 35.97950829449892)	(40, 36.70052695296315)	(41, 37.25323785131334)	(42, 37.495676938133585)	(43, 37.451978625812096)	(44, 37.37242712351216)	(45, 37.35481364331727)	(46, 37.226135604525865)	(47, 37.16545774490636)	(48, 37.086318160566385)	(49, 36.94863518778687)	(50, 36.87387567408462)	(51, 36.71799001267533)	(52, 36.666118946154796)	(53, 36.34669608173064)	(54, 36.16141202523435)	(55, 36.11369046857544)	(56, 36.05825595666738)	(57, 35.86518617576808)	(58, 35.733382156665535)	(59, 35.68567888337117)	(60, 35.58314545979515)	(61, 35.440010541950315)	(62, 35.35826704669093)	(63, 34.258983655587805)
SRX384353_1	(1, 37.691616121796095)	(2, 39.25126124590407)	(3, 39.24344456638039)	(4, 39.19610011631017)	(5, 39.256688543985305)	(6, 39.28003536324837)	(7, 39.31662929475912)	(8, 39.28053907048587)	(9, 39.213759872632004)	(10, 39.20672946600017)	(11, 39.149411888774516)	(12, 38.90631090163073)	(13, 39.02206747452879)	(14, 39.055440262068075)	(15, 39.0047851814391)	(16, 38.964704109128554)	(17, 38.91426748324608)	(18, 38.87242108462222)	(19, 38.79394104901268)	(20, 38.897364481930126)	(21, 38.90494696005877)	(22, 38.86134258451822)	(23, 38.84190789065658)	(24, 38.63404124052593)	(25, 38.70005894173227)	(26, 38.78868290398004)	(27, 38.75024364662144)	(28, 38.67088914947972)	(29, 38.64297834864371)	(30, 38.59969469432966)	(31, 38.32973827749347)	(32, 38.360864010748266)	(33, 38.36797050531905)	(34, 38.28254815391628)	(35, 38.205268872711244)	(36, 38.15440281443982)	(37, 37.992510964247074)	(38, 37.88562293017988)	(39, 37.80980045789223)	(40, 37.73822090205593)	(41, 37.64721684566704)	(42, 37.56838318684904)	(43, 37.47831821156849)	(44, 37.41162819823617)	(45, 37.18060641166758)	(46, 36.949617908360025)	(47, 36.79823885366215)	(48, 36.56988165527149)	(49, 36.41466582295754)	(50, 36.31521805508585)	(51, 36.164932906239294)	(52, 35.895186773045246)	(53, 35.619774763697805)	(54, 35.75203741486214)	(55, 35.447803398295456)	(56, 35.38666685155423)	(57, 35.39239662508616)	(58, 35.379927013000625)	(59, 35.26484456337219)	(60, 35.18466858701598)	(61, 35.015761958134334)	(62, 35.17178020315518)	(63, 33.81431614069455)
SRX384353_2	(1, 37.79608163684477)	(2, 39.20896506336158)	(3, 39.18119216584111)	(4, 39.13806287735128)	(5, 39.143858607908136)	(6, 39.1116589604211)	(7, 39.0957871073039)	(8, 38.99042825638631)	(9, 38.833764222322)	(10, 38.92194370092045)	(11, 38.65502928054874)	(12, 38.741654274876524)	(13, 38.576545140049866)	(14, 38.55241451082855)	(15, 38.53219804284848)	(16, 38.56753132552996)	(17, 38.541746537861705)	(18, 38.55553661501572)	(19, 38.519583717949025)	(20, 38.4850230127559)	(21, 38.699629198677556)	(22, 38.64608931463107)	(23, 38.730140453281045)	(24, 38.65096410815629)	(25, 38.58335320580818)	(26, 38.64546245790549)	(27, 38.62075000772885)	(28, 38.50407749580142)	(29, 38.46835161052635)	(30, 38.452431091290386)	(31, 38.389999025660174)	(32, 38.31977113544144)	(33, 38.161200583385316)	(34, 38.13296666457197)	(35, 38.06149894052247)	(36, 37.94712351210803)	(37, 37.93113554008381)	(38, 37.64724516891081)	(39, 35.94683558310409)	(40, 36.799605490998594)	(41, 37.29154264396103)	(42, 37.46822737862867)	(43, 37.43696923158886)	(44, 37.34106172975703)	(45, 37.31891246377351)	(46, 37.283054772477264)	(47, 37.20184864061554)	(48, 37.06238271184728)	(49, 36.78363976434693)	(50, 36.73188277701908)	(51, 36.58962831033065)	(52, 36.44363322650325)	(53, 36.43062776772151)	(54, 36.25832741446101)	(55, 36.04530920991018)	(56, 35.96588089620543)	(57, 35.82822678281157)	(58, 35.72521916703371)	(59, 35.2257448097062)	(60, 35.32030326406067)	(61, 35.38528180718372)	(62, 35.39562235287629)	(63, 34.2620286825192)
