Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX384345_1	(0.0, 1833.0)	(1.0, 1746.0)	(2.0, 1566.0)	(3.0, 1467.5)	(4.0, 1506.0)	(5.0, 1614.0)	(6.0, 1749.5)	(7.0, 1917.0)	(8.0, 2102.0)	(9.0, 2333.0)	(10.0, 2846.5)	(11.0, 3348.0)	(12.0, 4034.0)	(13.0, 5071.0)	(14.0, 6044.5)	(15.0, 8090.0)	(16.0, 10000.0)	(17.0, 14110.0)	(18.0, 21442.0)	(19.0, 28602.5)	(20.0, 41065.0)	(21.0, 57550.5)	(22.0, 70353.5)	(23.0, 92947.0)	(24.0, 112648.0)	(25.0, 136155.0)	(26.0, 172215.0)	(27.0, 196852.0)	(28.0, 234478.0)	(29.0, 287182.5)	(30.0, 325215.5)	(31.0, 367727.5)	(32.0, 400264.0)	(33.0, 438575.5)	(34.0, 507283.0)	(35.0, 555945.0)	(36.0, 615399.0)	(37.0, 693152.5)	(38.0, 738774.0)	(39.0, 785992.0)	(40.0, 863418.0)	(41.0, 916276.5)	(42.0, 953691.5)	(43.0, 1006222.5)	(44.0, 1047363.5)	(45.0, 1077107.0)	(46.0, 1088092.0)	(47.0, 1089458.0)	(48.0, 1106567.5)	(49.0, 1118845.0)	(50.0, 1121472.5)	(51.0, 1120252.0)	(52.0, 1123627.5)	(53.0, 1131468.0)	(54.0, 1124868.5)	(55.0, 1111394.5)	(56.0, 1098925.5)	(57.0, 1083695.5)	(58.0, 1058871.0)	(59.0, 1035090.5)	(60.0, 988967.5)	(61.0, 918549.5)	(62.0, 875462.5)	(63.0, 824476.0)	(64.0, 731411.5)	(65.0, 659242.0)	(66.0, 593053.0)	(67.0, 496576.0)	(68.0, 440219.0)	(69.0, 384062.0)	(70.0, 319682.0)	(71.0, 270408.5)	(72.0, 205452.0)	(73.0, 167581.5)	(74.0, 143231.0)	(75.0, 109935.0)	(76.0, 91132.0)	(77.0, 75965.0)	(78.0, 59810.5)	(79.0, 47778.0)	(80.0, 32158.0)	(81.0, 23791.0)	(82.0, 18599.5)	(83.0, 11666.5)	(84.0, 7860.5)	(85.0, 5782.5)	(86.0, 3861.0)	(87.0, 2822.0)	(88.0, 1827.0)	(89.0, 1240.5)	(90.0, 913.5)	(91.0, 676.0)	(92.0, 559.0)	(93.0, 381.5)	(94.0, 193.5)	(95.0, 126.5)	(96.0, 109.0)	(97.0, 106.5)	(98.0, 80.0)	(99.0, 61.0)	(100.0, 68.0)
SRX384345_2	(0.0, 1941.0)	(1.0, 1852.5)	(2.0, 1816.0)	(3.0, 1835.5)	(4.0, 1835.0)	(5.0, 1944.5)	(6.0, 2108.5)	(7.0, 2250.0)	(8.0, 2400.5)	(9.0, 2697.5)	(10.0, 3226.0)	(11.0, 3691.5)	(12.0, 4374.5)	(13.0, 5440.0)	(14.0, 6498.5)	(15.0, 8743.0)	(16.0, 10820.0)	(17.0, 14988.5)	(18.0, 22576.0)	(19.0, 29975.0)	(20.0, 42617.5)	(21.0, 59282.5)	(22.0, 72693.5)	(23.0, 96029.0)	(24.0, 115687.5)	(25.0, 138697.5)	(26.0, 174939.5)	(27.0, 200049.5)	(28.0, 237788.0)	(29.0, 290487.0)	(30.0, 328314.5)	(31.0, 371115.0)	(32.0, 403581.0)	(33.0, 441631.0)	(34.0, 510051.5)	(35.0, 557993.0)	(36.0, 618460.0)	(37.0, 698347.5)	(38.0, 745010.0)	(39.0, 793274.0)	(40.0, 870016.0)	(41.0, 922354.5)	(42.0, 965607.5)	(43.0, 1013499.5)	(44.0, 1053618.5)	(45.0, 1089462.5)	(46.0, 1098071.5)	(47.0, 1098434.0)	(48.0, 1113504.5)	(49.0, 1123246.0)	(50.0, 1124277.0)	(51.0, 1121030.5)	(52.0, 1120114.0)	(53.0, 1126996.5)	(54.0, 1122572.0)	(55.0, 1108432.0)	(56.0, 1092714.5)	(57.0, 1075381.5)	(58.0, 1050229.5)	(59.0, 1026140.5)	(60.0, 981808.0)	(61.0, 912735.0)	(62.0, 868848.5)	(63.0, 818448.0)	(64.0, 725650.0)	(65.0, 653715.5)	(66.0, 587882.5)	(67.0, 491102.5)	(68.0, 435054.5)	(69.0, 379370.0)	(70.0, 315322.0)	(71.0, 267334.0)	(72.0, 203878.5)	(73.0, 166252.0)	(74.0, 142121.5)	(75.0, 109187.5)	(76.0, 90329.5)	(77.0, 75077.0)	(78.0, 59141.5)	(79.0, 47375.5)	(80.0, 31523.0)	(81.0, 22851.0)	(82.0, 17688.0)	(83.0, 10844.0)	(84.0, 7119.0)	(85.0, 5072.0)	(86.0, 3229.5)	(87.0, 2344.5)	(88.0, 1434.5)	(89.0, 892.5)	(90.0, 635.5)	(91.0, 461.0)	(92.0, 385.0)	(93.0, 268.0)	(94.0, 144.0)	(95.0, 106.0)	(96.0, 96.0)	(97.0, 92.0)	(98.0, 77.5)	(99.0, 61.5)	(100.0, 58.0)
SRX384346_1	(0.0, 2004.0)	(1.0, 1871.0)	(2.0, 1645.0)	(3.0, 1536.5)	(4.0, 1577.0)	(5.0, 1705.5)	(6.0, 1867.0)	(7.0, 2093.5)	(8.0, 2332.5)	(9.0, 2610.5)	(10.0, 3123.0)	(11.0, 3623.5)	(12.0, 4323.0)	(13.0, 5316.5)	(14.0, 6297.0)	(15.0, 8482.0)	(16.0, 10505.5)	(17.0, 14418.0)	(18.0, 21681.0)	(19.0, 28615.5)	(20.0, 40336.0)	(21.0, 56225.5)	(22.0, 69017.5)	(23.0, 91319.0)	(24.0, 110099.0)	(25.0, 132397.0)	(26.0, 167410.0)	(27.0, 191752.5)	(28.0, 226591.0)	(29.0, 275490.0)	(30.0, 311761.5)	(31.0, 352190.0)	(32.0, 382969.0)	(33.0, 418654.5)	(34.0, 481493.5)	(35.0, 524497.0)	(36.0, 578013.0)	(37.0, 649811.0)	(38.0, 692125.0)	(39.0, 733595.5)	(40.0, 801554.0)	(41.0, 850554.5)	(42.0, 890196.0)	(43.0, 955212.5)	(44.0, 999996.0)	(45.0, 1010820.0)	(46.0, 1004548.5)	(47.0, 999782.0)	(48.0, 1018130.0)	(49.0, 1032322.5)	(50.0, 1035013.5)	(51.0, 1032113.5)	(52.0, 1026938.5)	(53.0, 1023881.0)	(54.0, 1013485.0)	(55.0, 999902.0)	(56.0, 986226.5)	(57.0, 969423.5)	(58.0, 941373.0)	(59.0, 914623.0)	(60.0, 874067.0)	(61.0, 811180.0)	(62.0, 770405.5)	(63.0, 724076.5)	(64.0, 643262.5)	(65.0, 580930.0)	(66.0, 521933.5)	(67.0, 437288.0)	(68.0, 388099.5)	(69.0, 339114.0)	(70.0, 283945.0)	(71.0, 241769.5)	(72.0, 184747.0)	(73.0, 150850.5)	(74.0, 128827.5)	(75.0, 99136.0)	(76.0, 82357.0)	(77.0, 68586.0)	(78.0, 53760.0)	(79.0, 42692.0)	(80.0, 28566.5)	(81.0, 20800.5)	(82.0, 16123.5)	(83.0, 10148.5)	(84.0, 6830.0)	(85.0, 4907.0)	(86.0, 3190.0)	(87.0, 2397.5)	(88.0, 1549.0)	(89.0, 1015.0)	(90.0, 762.5)	(91.0, 587.5)	(92.0, 482.0)	(93.0, 349.5)	(94.0, 208.0)	(95.0, 135.0)	(96.0, 112.5)	(97.0, 112.0)	(98.0, 84.0)	(99.0, 86.0)	(100.0, 116.0)
SRX384346_2	(0.0, 2074.0)	(1.0, 1971.0)	(2.0, 1823.0)	(3.0, 1795.5)	(4.0, 1876.0)	(5.0, 2050.5)	(6.0, 2249.5)	(7.0, 2446.5)	(8.0, 2658.0)	(9.0, 2941.0)	(10.0, 3438.0)	(11.0, 3948.5)	(12.0, 4667.0)	(13.0, 5742.5)	(14.0, 6916.0)	(15.0, 9229.5)	(16.0, 11310.5)	(17.0, 15404.5)	(18.0, 22742.0)	(19.0, 29697.0)	(20.0, 41852.5)	(21.0, 58230.0)	(22.0, 71191.5)	(23.0, 93623.5)	(24.0, 112570.5)	(25.0, 134721.5)	(26.0, 169556.5)	(27.0, 194135.5)	(28.0, 230053.5)	(29.0, 279097.5)	(30.0, 313971.5)	(31.0, 353426.0)	(32.0, 383882.5)	(33.0, 418793.0)	(34.0, 481576.0)	(35.0, 525128.5)	(36.0, 578894.5)	(37.0, 651730.5)	(38.0, 695620.0)	(39.0, 737336.5)	(40.0, 804347.0)	(41.0, 852711.5)	(42.0, 899943.5)	(43.0, 956537.0)	(44.0, 995965.5)	(45.0, 1021154.0)	(46.0, 1020332.5)	(47.0, 1015421.5)	(48.0, 1029937.5)	(49.0, 1039340.5)	(50.0, 1037030.5)	(51.0, 1032469.5)	(52.0, 1028702.0)	(53.0, 1027038.5)	(54.0, 1016599.0)	(55.0, 1002489.0)	(56.0, 985516.5)	(57.0, 965186.5)	(58.0, 938350.0)	(59.0, 912956.5)	(60.0, 869958.5)	(61.0, 805364.0)	(62.0, 765831.5)	(63.0, 721453.5)	(64.0, 640942.5)	(65.0, 578174.5)	(66.0, 518518.0)	(67.0, 433424.5)	(68.0, 384927.5)	(69.0, 336639.0)	(70.0, 281894.5)	(71.0, 239610.5)	(72.0, 183035.5)	(73.0, 149696.5)	(74.0, 127811.0)	(75.0, 97896.5)	(76.0, 80764.5)	(77.0, 67103.0)	(78.0, 52678.5)	(79.0, 41611.5)	(80.0, 27319.0)	(81.0, 19697.0)	(82.0, 15060.0)	(83.0, 9155.0)	(84.0, 5965.5)	(85.0, 4201.0)	(86.0, 2606.0)	(87.0, 1903.0)	(88.0, 1188.5)	(89.0, 733.5)	(90.0, 510.5)	(91.0, 373.5)	(92.0, 309.5)	(93.0, 212.5)	(94.0, 119.0)	(95.0, 89.0)	(96.0, 83.0)	(97.0, 82.5)	(98.0, 64.0)	(99.0, 38.0)	(100.0, 30.0)
SRX384349_1	(0.0, 2524.0)	(1.0, 2405.0)	(2.0, 2138.5)	(3.0, 1948.0)	(4.0, 1991.0)	(5.0, 2162.0)	(6.0, 2330.5)	(7.0, 2530.5)	(8.0, 2785.0)	(9.0, 3226.0)	(10.0, 3939.0)	(11.0, 4602.0)	(12.0, 5512.0)	(13.0, 6974.5)	(14.0, 8258.0)	(15.0, 10620.5)	(16.0, 13210.0)	(17.0, 18116.5)	(18.0, 26207.0)	(19.0, 34340.5)	(20.0, 47632.5)	(21.0, 65635.5)	(22.0, 80629.0)	(23.0, 107066.0)	(24.0, 130055.5)	(25.0, 156835.5)	(26.0, 199758.0)	(27.0, 230508.5)	(28.0, 275073.5)	(29.0, 339785.0)	(30.0, 391774.0)	(31.0, 448326.0)	(32.0, 489480.5)	(33.0, 542236.5)	(34.0, 634506.5)	(35.0, 702905.5)	(36.0, 785481.5)	(37.0, 884639.0)	(38.0, 942542.5)	(39.0, 1011167.0)	(40.0, 1116809.5)	(41.0, 1182039.0)	(42.0, 1218528.5)	(43.0, 1259825.0)	(44.0, 1305642.5)	(45.0, 1363606.0)	(46.0, 1397796.5)	(47.0, 1412976.0)	(48.0, 1438057.5)	(49.0, 1452014.0)	(50.0, 1445441.0)	(51.0, 1431603.5)	(52.0, 1416432.5)	(53.0, 1406302.0)	(54.0, 1400861.0)	(55.0, 1390173.0)	(56.0, 1364981.5)	(57.0, 1337508.0)	(58.0, 1291869.0)	(59.0, 1244295.5)	(60.0, 1189347.5)	(61.0, 1100488.5)	(62.0, 1038390.5)	(63.0, 968610.5)	(64.0, 845408.0)	(65.0, 751700.5)	(66.0, 670927.0)	(67.0, 560015.0)	(68.0, 492725.5)	(69.0, 428558.0)	(70.0, 357837.5)	(71.0, 301015.0)	(72.0, 229499.5)	(73.0, 185950.0)	(74.0, 155648.5)	(75.0, 118844.0)	(76.0, 97298.0)	(77.0, 81013.0)	(78.0, 63579.0)	(79.0, 48774.0)	(80.0, 32890.5)	(81.0, 24246.0)	(82.0, 18539.0)	(83.0, 11927.5)	(84.0, 7962.0)	(85.0, 5905.5)	(86.0, 4239.0)	(87.0, 3186.5)	(88.0, 2327.0)	(89.0, 1726.0)	(90.0, 1266.5)	(91.0, 987.0)	(92.0, 835.0)	(93.0, 524.5)	(94.0, 205.5)	(95.0, 115.0)	(96.0, 93.0)	(97.0, 91.5)	(98.0, 59.5)	(99.0, 28.0)	(100.0, 28.0)
SRX384349_2	(0.0, 3146.0)	(1.0, 3001.0)	(2.0, 2629.0)	(3.0, 2356.5)	(4.0, 2380.0)	(5.0, 2547.0)	(6.0, 2779.0)	(7.0, 3065.5)	(8.0, 3334.5)	(9.0, 3811.5)	(10.0, 4582.0)	(11.0, 5213.5)	(12.0, 6071.5)	(13.0, 7508.0)	(14.0, 8753.0)	(15.0, 11119.5)	(16.0, 13707.5)	(17.0, 18786.0)	(18.0, 27105.5)	(19.0, 35408.5)	(20.0, 49151.0)	(21.0, 67990.5)	(22.0, 83639.5)	(23.0, 110650.0)	(24.0, 134353.5)	(25.0, 161849.5)	(26.0, 205923.5)	(27.0, 237308.5)	(28.0, 281728.5)	(29.0, 347516.0)	(30.0, 399347.5)	(31.0, 455725.5)	(32.0, 498029.0)	(33.0, 550437.0)	(34.0, 643489.5)	(35.0, 712613.5)	(36.0, 796260.5)	(37.0, 894809.5)	(38.0, 950772.0)	(39.0, 1017653.0)	(40.0, 1121342.0)	(41.0, 1186393.5)	(42.0, 1223867.0)	(43.0, 1265960.5)	(44.0, 1308611.0)	(45.0, 1364932.0)	(46.0, 1398134.5)	(47.0, 1406476.5)	(48.0, 1424893.5)	(49.0, 1440719.5)	(50.0, 1438356.5)	(51.0, 1423603.5)	(52.0, 1401084.0)	(53.0, 1387592.0)	(54.0, 1382554.0)	(55.0, 1366971.5)	(56.0, 1342135.0)	(57.0, 1317800.5)	(58.0, 1272276.0)	(59.0, 1226089.0)	(60.0, 1172799.0)	(61.0, 1091168.5)	(62.0, 1037217.0)	(63.0, 968102.0)	(64.0, 845378.5)	(65.0, 755669.5)	(66.0, 678302.5)	(67.0, 566267.5)	(68.0, 498964.5)	(69.0, 437435.0)	(70.0, 368432.5)	(71.0, 310734.0)	(72.0, 238137.0)	(73.0, 194949.5)	(74.0, 164489.5)	(75.0, 127073.0)	(76.0, 104857.5)	(77.0, 87840.0)	(78.0, 69423.0)	(79.0, 53693.5)	(80.0, 37034.0)	(81.0, 27849.0)	(82.0, 21992.5)	(83.0, 15093.0)	(84.0, 10577.5)	(85.0, 7987.0)	(86.0, 6004.0)	(87.0, 4831.5)	(88.0, 3651.0)	(89.0, 2684.5)	(90.0, 2145.0)	(91.0, 1798.5)	(92.0, 1553.5)	(93.0, 1099.0)	(94.0, 530.0)	(95.0, 283.0)	(96.0, 223.0)	(97.0, 217.0)	(98.0, 144.0)	(99.0, 68.0)	(100.0, 66.0)
SRX384350_1	(0.0, 1921.0)	(1.0, 1762.5)	(2.0, 1479.0)	(3.0, 1355.0)	(4.0, 1440.0)	(5.0, 1605.5)	(6.0, 1779.0)	(7.0, 1975.0)	(8.0, 2119.5)	(9.0, 2372.0)	(10.0, 2925.0)	(11.0, 3445.5)	(12.0, 4107.0)	(13.0, 5062.5)	(14.0, 5931.5)	(15.0, 7981.0)	(16.0, 10067.0)	(17.0, 13735.0)	(18.0, 20260.5)	(19.0, 26749.0)	(20.0, 37423.0)	(21.0, 51744.5)	(22.0, 63539.5)	(23.0, 83929.0)	(24.0, 101458.5)	(25.0, 121522.0)	(26.0, 153248.0)	(27.0, 175993.0)	(28.0, 207718.5)	(29.0, 251949.0)	(30.0, 285131.5)	(31.0, 319463.0)	(32.0, 344903.5)	(33.0, 375879.0)	(34.0, 429382.5)	(35.0, 468353.5)	(36.0, 516842.0)	(37.0, 573610.0)	(38.0, 603942.5)	(39.0, 638563.5)	(40.0, 693949.5)	(41.0, 727648.5)	(42.0, 746462.0)	(43.0, 769644.0)	(44.0, 792786.0)	(45.0, 820770.0)	(46.0, 835091.0)	(47.0, 839460.5)	(48.0, 849962.5)	(49.0, 855364.5)	(50.0, 849754.0)	(51.0, 840509.5)	(52.0, 828723.0)	(53.0, 814456.5)	(54.0, 801896.5)	(55.0, 787449.5)	(56.0, 766279.5)	(57.0, 744393.0)	(58.0, 713407.5)	(59.0, 685398.0)	(60.0, 650983.0)	(61.0, 598822.5)	(62.0, 565589.5)	(63.0, 526406.5)	(64.0, 457744.5)	(65.0, 405897.0)	(66.0, 361538.5)	(67.0, 300076.5)	(68.0, 263385.0)	(69.0, 230147.0)	(70.0, 192977.5)	(71.0, 163553.5)	(72.0, 125460.0)	(73.0, 101313.5)	(74.0, 85392.5)	(75.0, 66082.5)	(76.0, 54366.0)	(77.0, 45390.5)	(78.0, 35896.0)	(79.0, 28106.0)	(80.0, 19565.0)	(81.0, 14619.5)	(82.0, 11658.0)	(83.0, 8150.0)	(84.0, 5752.5)	(85.0, 4282.0)	(86.0, 3113.0)	(87.0, 2478.0)	(88.0, 1876.0)	(89.0, 1381.5)	(90.0, 1060.5)	(91.0, 865.0)	(92.0, 735.5)	(93.0, 515.0)	(94.0, 236.0)	(95.0, 117.0)	(96.0, 94.5)	(97.0, 93.0)	(98.0, 60.5)	(99.0, 27.0)	(100.0, 26.0)
SRX384350_2	(0.0, 2339.0)	(1.0, 2141.0)	(2.0, 1862.0)	(3.0, 1772.0)	(4.0, 1846.5)	(5.0, 1993.5)	(6.0, 2116.5)	(7.0, 2307.5)	(8.0, 2549.0)	(9.0, 2865.5)	(10.0, 3412.0)	(11.0, 3935.0)	(12.0, 4627.5)	(13.0, 5711.0)	(14.0, 6724.5)	(15.0, 8810.0)	(16.0, 10915.0)	(17.0, 14747.5)	(18.0, 21511.0)	(19.0, 28249.5)	(20.0, 39648.5)	(21.0, 54704.5)	(22.0, 66721.5)	(23.0, 87833.0)	(24.0, 106022.0)	(25.0, 126150.5)	(26.0, 158067.0)	(27.0, 180396.5)	(28.0, 211868.5)	(29.0, 256719.0)	(30.0, 290166.5)	(31.0, 324701.5)	(32.0, 350448.5)	(33.0, 381799.0)	(34.0, 435970.5)	(35.0, 474824.5)	(36.0, 522745.5)	(37.0, 579262.5)	(38.0, 610261.5)	(39.0, 645339.0)	(40.0, 699433.5)	(41.0, 732469.0)	(42.0, 750284.5)	(43.0, 771443.5)	(44.0, 794266.0)	(45.0, 820318.0)	(46.0, 833382.0)	(47.0, 838826.5)	(48.0, 848118.0)	(49.0, 851393.5)	(50.0, 843472.5)	(51.0, 833286.5)	(52.0, 821084.5)	(53.0, 806358.5)	(54.0, 794509.5)	(55.0, 779824.0)	(56.0, 759919.5)	(57.0, 740411.5)	(58.0, 710608.0)	(59.0, 683793.5)	(60.0, 650722.0)	(61.0, 599471.0)	(62.0, 567177.0)	(63.0, 529805.5)	(64.0, 462565.0)	(65.0, 411050.5)	(66.0, 366916.0)	(67.0, 305682.0)	(68.0, 269080.0)	(69.0, 236248.0)	(70.0, 198982.0)	(71.0, 168909.5)	(72.0, 130383.5)	(73.0, 105693.0)	(74.0, 89551.5)	(75.0, 70140.0)	(76.0, 57841.0)	(77.0, 48509.0)	(78.0, 38866.0)	(79.0, 30923.0)	(80.0, 21817.5)	(81.0, 16224.0)	(82.0, 13028.0)	(83.0, 9267.5)	(84.0, 6617.5)	(85.0, 5110.5)	(86.0, 3922.5)	(87.0, 3205.0)	(88.0, 2418.0)	(89.0, 1745.5)	(90.0, 1376.5)	(91.0, 1128.0)	(92.0, 950.0)	(93.0, 682.5)	(94.0, 349.0)	(95.0, 195.5)	(96.0, 161.5)	(97.0, 157.5)	(98.0, 106.0)	(99.0, 55.5)	(100.0, 56.0)
SRX384353_1	(0.0, 2862.0)	(1.0, 2648.5)	(2.0, 2228.5)	(3.0, 1978.0)	(4.0, 2021.0)	(5.0, 2198.5)	(6.0, 2425.0)	(7.0, 2714.0)	(8.0, 3022.5)	(9.0, 3509.0)	(10.0, 4297.0)	(11.0, 5000.5)	(12.0, 5827.5)	(13.0, 7239.0)	(14.0, 8602.5)	(15.0, 10945.5)	(16.0, 13380.5)	(17.0, 17941.5)	(18.0, 25435.0)	(19.0, 33251.5)	(20.0, 46474.0)	(21.0, 64239.0)	(22.0, 78952.5)	(23.0, 104097.5)	(24.0, 125955.0)	(25.0, 153254.0)	(26.0, 196623.5)	(27.0, 227189.0)	(28.0, 272711.0)	(29.0, 337534.0)	(30.0, 387014.5)	(31.0, 443832.0)	(32.0, 487222.0)	(33.0, 544327.5)	(34.0, 641955.5)	(35.0, 711393.5)	(36.0, 796790.0)	(37.0, 901976.0)	(38.0, 963061.0)	(39.0, 1029857.0)	(40.0, 1129700.5)	(41.0, 1188093.5)	(42.0, 1221106.5)	(43.0, 1263486.0)	(44.0, 1297130.0)	(45.0, 1339091.0)	(46.0, 1374537.5)	(47.0, 1392769.5)	(48.0, 1407654.0)	(49.0, 1412826.0)	(50.0, 1403850.5)	(51.0, 1383471.0)	(52.0, 1361988.5)	(53.0, 1351017.5)	(54.0, 1343678.5)	(55.0, 1323821.0)	(56.0, 1288960.0)	(57.0, 1259509.0)	(58.0, 1221732.0)	(59.0, 1178915.0)	(60.0, 1118983.5)	(61.0, 1026774.0)	(62.0, 967190.5)	(63.0, 902500.0)	(64.0, 786616.0)	(65.0, 698774.0)	(66.0, 623505.0)	(67.0, 519947.0)	(68.0, 456896.5)	(69.0, 397439.0)	(70.0, 332060.0)	(71.0, 280506.0)	(72.0, 216702.5)	(73.0, 177229.0)	(74.0, 148804.0)	(75.0, 114580.0)	(76.0, 94235.0)	(77.0, 77275.0)	(78.0, 59128.5)	(79.0, 45040.0)	(80.0, 30166.5)	(81.0, 21493.0)	(82.0, 16272.0)	(83.0, 10611.5)	(84.0, 7150.5)	(85.0, 5265.0)	(86.0, 3721.5)	(87.0, 2901.5)	(88.0, 2224.0)	(89.0, 1641.5)	(90.0, 1180.0)	(91.0, 914.0)	(92.0, 774.5)	(93.0, 491.0)	(94.0, 198.0)	(95.0, 117.5)	(96.0, 91.5)	(97.0, 86.5)	(98.0, 55.0)	(99.0, 24.5)	(100.0, 25.0)
SRX384353_2	(0.0, 3217.0)	(1.0, 3046.0)	(2.0, 2661.5)	(3.0, 2396.0)	(4.0, 2435.5)	(5.0, 2626.0)	(6.0, 2855.5)	(7.0, 3152.0)	(8.0, 3448.0)	(9.0, 3864.0)	(10.0, 4683.5)	(11.0, 5522.5)	(12.0, 6409.0)	(13.0, 7776.0)	(14.0, 9063.0)	(15.0, 11443.0)	(16.0, 13937.5)	(17.0, 18694.0)	(18.0, 26400.5)	(19.0, 34256.5)	(20.0, 47197.0)	(21.0, 64646.5)	(22.0, 79551.0)	(23.0, 105833.5)	(24.0, 128738.0)	(25.0, 156276.0)	(26.0, 199936.5)	(27.0, 230461.5)	(28.0, 275986.5)	(29.0, 341651.5)	(30.0, 390740.5)	(31.0, 446102.5)	(32.0, 489264.5)	(33.0, 546561.0)	(34.0, 643224.0)	(35.0, 712399.0)	(36.0, 800422.0)	(37.0, 905414.5)	(38.0, 964045.0)	(39.0, 1027397.0)	(40.0, 1125826.0)	(41.0, 1185429.5)	(42.0, 1217125.5)	(43.0, 1255364.0)	(44.0, 1287434.0)	(45.0, 1334216.5)	(46.0, 1369701.5)	(47.0, 1381347.5)	(48.0, 1390454.0)	(49.0, 1395895.5)	(50.0, 1391699.5)	(51.0, 1374881.0)	(52.0, 1351405.5)	(53.0, 1337048.0)	(54.0, 1328392.5)	(55.0, 1308428.5)	(56.0, 1278589.5)	(57.0, 1253204.5)	(58.0, 1217814.0)	(59.0, 1180434.5)	(60.0, 1123607.0)	(61.0, 1036904.5)	(62.0, 984146.0)	(63.0, 919824.0)	(64.0, 801528.5)	(65.0, 713751.5)	(66.0, 640075.0)	(67.0, 534495.5)	(68.0, 469969.5)	(69.0, 411980.5)	(70.0, 347039.5)	(71.0, 293393.5)	(72.0, 227622.5)	(73.0, 187340.0)	(74.0, 158693.5)	(75.0, 123643.5)	(76.0, 101869.5)	(77.0, 84403.0)	(78.0, 65727.5)	(79.0, 50783.5)	(80.0, 34929.0)	(81.0, 25560.0)	(82.0, 20061.0)	(83.0, 13934.0)	(84.0, 9792.5)	(85.0, 7425.0)	(86.0, 5658.0)	(87.0, 4637.0)	(88.0, 3592.5)	(89.0, 2666.0)	(90.0, 2150.0)	(91.0, 1831.5)	(92.0, 1577.0)	(93.0, 1091.0)	(94.0, 480.0)	(95.0, 230.0)	(96.0, 188.5)	(97.0, 189.0)	(98.0, 138.0)	(99.0, 89.0)	(100.0, 92.0)
