Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
SRX384345_1	(16.0, 1.0)	(17.0, 1.0)	(18.0, 4.0)	(19.0, 34.0)	(20.0, 260.0)	(21.0, 976.0)	(22.0, 2684.0)	(23.0, 7008.0)	(24.0, 14829.0)	(25.0, 26574.0)	(26.0, 42291.0)	(27.0, 63018.0)	(28.0, 88346.0)	(29.0, 119654.0)	(30.0, 158723.0)	(31.0, 206573.0)	(32.0, 267878.0)	(33.0, 348089.0)	(34.0, 499558.0)	(35.0, 759712.0)	(36.0, 1288467.0)	(37.0, 2298675.0)	(38.0, 3795906.0)	(39.0, 5521346.0)	(40.0, 7216779.0)							
SRX384345_2	(9.0, 1.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 2.0)	(14.0, 1.0)	(15.0, 3.0)	(16.0, 3.0)	(17.0, 28.0)	(18.0, 197.0)	(19.0, 1037.0)	(20.0, 4999.0)	(21.0, 9587.0)	(22.0, 14649.0)	(23.0, 20524.0)	(24.0, 27656.0)	(25.0, 36647.0)	(26.0, 47814.0)	(27.0, 61915.0)	(28.0, 79520.0)	(29.0, 102467.0)	(30.0, 132235.0)	(31.0, 171772.0)	(32.0, 227941.0)	(33.0, 320110.0)	(34.0, 481032.0)	(35.0, 783274.0)	(36.0, 1389698.0)	(37.0, 2512189.0)	(38.0, 4165223.0)	(39.0, 5648559.0)	(40.0, 6488303.0)
SRX384346_1	(18.0, 5.0)	(19.0, 25.0)	(20.0, 243.0)	(21.0, 853.0)	(22.0, 2598.0)	(23.0, 6878.0)	(24.0, 14380.0)	(25.0, 25435.0)	(26.0, 40651.0)	(27.0, 59687.0)	(28.0, 83761.0)	(29.0, 111733.0)	(30.0, 147616.0)	(31.0, 190644.0)	(32.0, 244475.0)	(33.0, 317558.0)	(34.0, 451922.0)	(35.0, 684726.0)	(36.0, 1159303.0)	(37.0, 2063144.0)	(38.0, 3422887.0)	(39.0, 5047978.0)	(40.0, 6718536.0)									
SRX384346_2	(12.0, 1.0)	(13.0, 1.0)	(14.0, 2.0)	(15.0, 11.0)	(16.0, 28.0)	(17.0, 98.0)	(18.0, 919.0)	(19.0, 5371.0)	(20.0, 16422.0)	(21.0, 25573.0)	(22.0, 32244.0)	(23.0, 39052.0)	(24.0, 47486.0)	(25.0, 57145.0)	(26.0, 68426.0)	(27.0, 82901.0)	(28.0, 100850.0)	(29.0, 123534.0)	(30.0, 153251.0)	(31.0, 193410.0)	(32.0, 251894.0)	(33.0, 338876.0)	(34.0, 493244.0)	(35.0, 763465.0)	(36.0, 1296309.0)	(37.0, 2265290.0)	(38.0, 3690171.0)	(39.0, 4998882.0)	(40.0, 5750182.0)			
SRX384349_1	(16.0, 2.0)	(17.0, 4.0)	(18.0, 11.0)	(19.0, 73.0)	(20.0, 470.0)	(21.0, 1818.0)	(22.0, 5386.0)	(23.0, 12649.0)	(24.0, 25088.0)	(25.0, 43899.0)	(26.0, 69448.0)	(27.0, 103459.0)	(28.0, 145176.0)	(29.0, 199014.0)	(30.0, 262072.0)	(31.0, 342212.0)	(32.0, 444530.0)	(33.0, 585214.0)	(34.0, 810939.0)	(35.0, 1147422.0)	(36.0, 1758917.0)	(37.0, 2884688.0)	(38.0, 4602325.0)	(39.0, 6789646.0)	(40.0, 7508970.0)							
SRX384349_2	(16.0, 1.0)	(17.0, 6.0)	(18.0, 123.0)	(19.0, 1080.0)	(20.0, 6499.0)	(21.0, 14772.0)	(22.0, 25869.0)	(23.0, 39093.0)	(24.0, 55484.0)	(25.0, 75591.0)	(26.0, 99631.0)	(27.0, 127874.0)	(28.0, 162333.0)	(29.0, 203727.0)	(30.0, 253987.0)	(31.0, 320099.0)	(32.0, 408775.0)	(33.0, 535360.0)	(34.0, 746315.0)	(35.0, 1068502.0)	(36.0, 1656315.0)	(37.0, 2760400.0)	(38.0, 4494546.0)	(39.0, 6664156.0)	(40.0, 8022884.0)	(41.0, 10.0)						
SRX384350_1	(18.0, 1.0)	(19.0, 39.0)	(20.0, 284.0)	(21.0, 1235.0)	(22.0, 4265.0)	(23.0, 10744.0)	(24.0, 22339.0)	(25.0, 39180.0)	(26.0, 63553.0)	(27.0, 94619.0)	(28.0, 133343.0)	(29.0, 180101.0)	(30.0, 236187.0)	(31.0, 300775.0)	(32.0, 380417.0)	(33.0, 483656.0)	(34.0, 633023.0)	(35.0, 845566.0)	(36.0, 1197496.0)	(37.0, 1787474.0)	(38.0, 2640528.0)	(39.0, 3710697.0)	(40.0, 3758920.0)									
SRX384350_2	(13.0, 1.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 13.0)	(18.0, 124.0)	(19.0, 1129.0)	(20.0, 6228.0)	(21.0, 14275.0)	(22.0, 24206.0)	(23.0, 37449.0)	(24.0, 52997.0)	(25.0, 72017.0)	(26.0, 94582.0)	(27.0, 120553.0)	(28.0, 151842.0)	(29.0, 187596.0)	(30.0, 232474.0)	(31.0, 287372.0)	(32.0, 359538.0)	(33.0, 454921.0)	(34.0, 601478.0)	(35.0, 807393.0)	(36.0, 1149922.0)	(37.0, 1724039.0)	(38.0, 2578871.0)	(39.0, 3620767.0)	(40.0, 3944655.0)				
SRX384353_1	(15.0, 1.0)	(16.0, 1.0)	(17.0, 2.0)	(18.0, 9.0)	(19.0, 59.0)	(20.0, 419.0)	(21.0, 1899.0)	(22.0, 6105.0)	(23.0, 15701.0)	(24.0, 32111.0)	(25.0, 57775.0)	(26.0, 93619.0)	(27.0, 142413.0)	(28.0, 201576.0)	(29.0, 275190.0)	(30.0, 361210.0)	(31.0, 466948.0)	(32.0, 599111.0)	(33.0, 772575.0)	(34.0, 1029234.0)	(35.0, 1395234.0)	(36.0, 1999416.0)	(37.0, 2978305.0)	(38.0, 4392987.0)	(39.0, 6072218.0)	(40.0, 5903194.0)						
SRX384353_2	(15.0, 2.0)	(16.0, 2.0)	(17.0, 14.0)	(18.0, 189.0)	(19.0, 1790.0)	(20.0, 9932.0)	(21.0, 22200.0)	(22.0, 37606.0)	(23.0, 56896.0)	(24.0, 81116.0)	(25.0, 110731.0)	(26.0, 144682.0)	(27.0, 184690.0)	(28.0, 232378.0)	(29.0, 289154.0)	(30.0, 358295.0)	(31.0, 445709.0)	(32.0, 556872.0)	(33.0, 714330.0)	(34.0, 953337.0)	(35.0, 1301796.0)	(36.0, 1892480.0)	(37.0, 2905690.0)	(38.0, 4353271.0)	(39.0, 5995673.0)	(40.0, 6148469.0)	(41.0, 8.0)					
