Sample	Unique Reads	Duplicate Reads
SRX384345_1	11306325.0	11421061.0
SRX384345_2	11790797.0	10936589.0
SRX384346_1	10542925.0	10252113.0
SRX384346_2	11059627.0	9735411.0
SRX384349_1	12089903.0	15653529.0
SRX384349_2	12111421.0	15632011.0
SRX384350_1	8517933.0	8006509.0
SRX384350_2	8603089.0	7921353.0
SRX384353_1	12031562.0	14765750.0
SRX384353_2	12048575.0	14748737.0
SRX384354_1	14529902.0	19208165.0
SRX384354_2	14540894.0	19197173.0
SRX384357_1	10506535.0	10410211.0
SRX384357_2	10480478.0	10436268.0
SRX384358_1	11021768.0	12020823.0
SRX384358_2	11063568.0	11979023.0
