Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRX384345_1	(1.0, 37.55604859291594)	(2.0, 12.614863788806074)	(3.0, 6.649624189453663)	(4.0, 4.142046492534954)	(5.0, 3.062089052671872)	(6.0, 2.366165836108179)	(7.0, 1.8976976750071384)	(8.0, 1.647634466575423)	(9.0, 1.3644016799312477)	('>10', 16.6595973645909)	('>50', 4.969694027757028)	('>100', 5.739477559583772)	('>500', 0.6971991070386963)	('>1k', 0.2778300526182525)	('>5k', 0.0)	('>10k+', 0.35563011440677894)
SRX384345_2	(1.0, 39.64009797186641)	(2.0, 12.758887309335334)	(3.0, 6.6409166860270314)	(4.0, 4.308444872673555)	(5.0, 2.9825297849050485)	(6.0, 2.3888293888293006)	(7.0, 1.840015283109301)	(8.0, 1.5537854433803782)	(9.0, 1.3316811127991905)	('>10', 16.220531326724345)	('>50', 4.511714356008315)	('>100', 4.826911687295579)	('>500', 0.5386818958212004)	('>1k', 0.18694708674489413)	('>5k', 0.036811803058382594)	('>10k+', 0.2332139914216519)
SRX384346_1	(1.0, 38.23411252035331)	(2.0, 12.844050495756477)	(3.0, 6.838692104297378)	(4.0, 4.326337569836006)	(5.0, 3.175518134004101)	(6.0, 2.539487274959396)	(7.0, 1.9891496510880597)	(8.0, 1.6346623588490088)	(9.0, 1.412431366252689)	('>10', 16.110334130219233)	('>50', 4.5335472913917405)	('>100', 4.99061701497513)	('>500', 0.5586393328454377)	('>1k', 0.14341496789711355)	('>5k', 0.0)	('>10k+', 0.6690057872748651)
SRX384346_2	(1.0, 40.70961939381466)	(2.0, 13.107137999026186)	(3.0, 6.804953760035118)	(4.0, 4.375981495356363)	(5.0, 3.054236948420407)	(6.0, 2.39143405237426)	(7.0, 1.9278983728105954)	(8.0, 1.5147493093879134)	(9.0, 1.4216257458665411)	('>10', 15.491344796023007)	('>50', 4.052321904739086)	('>100', 4.162679337066085)	('>500', 0.3895452308074096)	('>1k', 0.11402878444018677)	('>5k', 0.0)	('>10k+', 0.48244286983217244)
SRX384349_1	(1.0, 31.678859219452747)	(2.0, 11.619350531357982)	(3.0, 6.396460417614745)	(4.0, 4.302834729887324)	(5.0, 3.2190507722249793)	(6.0, 2.5767417823420016)	(7.0, 2.0779300669647114)	(8.0, 1.7502126055056688)	(9.0, 1.5150878677490451)	('>10', 18.535334632548594)	('>50', 6.039017607854476)	('>100', 8.19813286440387)	('>500', 1.4035690780386756)	('>1k', 0.6630304983842165)	('>5k', 0.024387325671006335)	('>10k+', 0.0)
SRX384349_2	(1.0, 31.823530769292923)	(2.0, 11.559026039038471)	(3.0, 6.494066472122785)	(4.0, 4.351887747182643)	(5.0, 3.1442637879929487)	(6.0, 2.430903434195351)	(7.0, 1.9832964203686854)	(8.0, 1.6388989385450508)	(9.0, 1.4422759973382737)	('>10', 18.283908503246753)	('>50', 6.133477735485409)	('>100', 8.491222914595319)	('>500', 1.4606159630600282)	('>1k', 0.7422518249123767)	('>5k', 0.020373452623007274)	('>10k+', 0.0)
SRX384350_1	(1.0, 39.37995591040563)	(2.0, 12.331567919683648)	(3.0, 6.608709159393373)	(4.0, 4.381295500026031)	(5.0, 3.133639111425258)	(6.0, 2.4826915977163466)	(7.0, 1.9665888755514043)	(8.0, 1.6831819452003662)	(9.0, 1.395999793081884)	('>10', 17.06429343262156)	('>50', 4.465780597999226)	('>100', 4.600784460794751)	('>500', 0.41659269141936406)	('>1k', 0.08891900468113174)	('>5k', 0.0)	('>10k+', 0.0)
SRX384350_2	(1.0, 39.97204968901619)	(2.0, 12.397953692769885)	(3.0, 6.472624832990085)	(4.0, 4.310815062821948)	(5.0, 3.041446608578265)	(6.0, 2.418191639434039)	(7.0, 2.023324173475631)	(8.0, 1.6249505322250823)	(9.0, 1.37960433415925)	('>10', 16.797102265673335)	('>50', 4.510282241721945)	('>100', 4.552467583929091)	('>500', 0.41362360390973424)	('>1k', 0.08556373929547914)	('>5k', 0.0)	('>10k+', 0.0)
SRX384353_1	(1.0, 33.011503795963606)	(2.0, 11.627009781009312)	(3.0, 6.520082211852324)	(4.0, 4.513926567000677)	(5.0, 3.2787562656908236)	(6.0, 2.4715549460420374)	(7.0, 1.94208120892556)	(8.0, 1.7852170064931843)	(9.0, 1.396139368235154)	('>10', 17.22300911205345)	('>50', 5.45767091256888)	('>100', 8.13658327032285)	('>500', 1.5124594621637384)	('>1k', 0.9820552120200271)	('>5k', 0.054711796278073564)	('>10k+', 0.0872390833803803)
SRX384353_2	(1.0, 33.14543290475603)	(2.0, 11.622218656123792)	(3.0, 6.480662616763837)	(4.0, 4.3108473542141805)	(5.0, 3.285387712688987)	(6.0, 2.455470373445556)	(7.0, 2.007163506487927)	(8.0, 1.6321085236016413)	(9.0, 1.3954788036034487)	('>10', 17.302434136970604)	('>50', 5.46608430632261)	('>100', 8.111539807367848)	('>500', 1.5581691189483051)	('>1k', 1.0789624390169212)	('>5k', 0.06043697323115517)	('>10k+', 0.08760276645711083)
