[2026-06-26 06:26:12,611] root                                               [DEBUG  ]  Logging to file: /tmp/tmpthwh9nk2/multiqc.log
[2026-06-26 06:26:12,611] multiqc.core.update_config                         [DEBUG  ]  This is MultiQC v1.33
[2026-06-26 06:26:12,611] multiqc.core.update_config                         [DEBUG  ]  Running Python 3.14.2 | packaged by conda-forge | (main, Dec  6 2025, 11:21:58) [GCC 14.3.0]
[2026-06-26 06:26:12,740] multiqc.config                                     [INFO   ]  Loading config settings from: 1/multiqc_config.yml
[2026-06-26 06:26:12,740] multiqc.config                                     [DEBUG  ]  New config: {'report_comment': 'This report has been generated by the <a href="https://github.com/nf-core/rnaseq/tag/3.26.0" target="_blank">nf-core/rnaseq</a> analysis pipeline. For information about how to interpret these results, please see the <a href="https://nf-co.re/rnaseq/3.26.0/docs/output" target="_blank">documentation</a>.\n', 'report_section_order': {'sample-status': {'order': 5004}, 'fail_trimmed_samples-module': {'order': 5003}, 'fail_mapped_samples-module': {'order': 5002}, 'strandedness': {'order': 5001}, 'strand_check_summary-module': {'order': 2}, 'strand_check_composition-module': {'order': 1}, 'fastqc_raw': {'order': 4004}, 'cutadapt': {'order': 4003}, 'fastp': {'order': 4003}, 'fastqc_trimmed': {'order': 4002}, 'bbmap': {'order': 4001}, 'bowtie2_rrna': {'order': 4000}, 'fastqc_filtered': {'order': 3999}, 'star': {'order': 3000}, 'hisat2': {'order': 3000}, 'bowtie2_alignment': {'order': 3000}, 'samtools': {'order': 3000}, 'dupradar-module': {'order': 3000}, 'featurecounts_biotype': {'order': 3000}, 'picard': {'order': 3000}, 'preseq': {'order': 3000}, 'qualimap': {'order': 3000}, 'rseqc': {'order': 3000}, 'umitools': {'order': 3000}, 'rsem': {'order': 2000}, 'salmon': {'order': 2000}, 'kallisto': {'order': 2000}, 'sample-relationships': {'order': 1006}, 'star_salmon_deseq2_pca': {'order': 1005}, 'star_salmon_deseq2_clustering': {'order': 1004}, 'salmon_deseq2_pca': {'order': 1003}, 'salmon_deseq2_clustering': {'order': 1002}, 'star_rsem_deseq2_pca': {'order': 1001}, 'star_rsem_deseq2_clustering': {'order': 1000}, 'nf-core-rnaseq-methods-description-module': {'order': -1000}, 'software_versions-module': {'order': -1001}, 'nf-core-rnaseq-summary-module': {'order': -1002}}, 'export_plots': True, 'export_plots_timeout': 60, 'disable_version_detection': True, 'sample_names_replace_exact': True, 'use_filename_as_sample_name': ['sortmerna'], 'run_modules': ['custom_content', 'fastqc', 'cutadapt', 'fastp', 'seqkit', 'bbmap', 'sortmerna', 'bowtie2', 'star', 'hisat2', 'rsem', 'umitools', 'umicollapse', 'salmon', 'kallisto', 'samtools', 'picard', 'preseq', 'rseqc', 'qualimap', 'kraken', 'sylphtax'], 'module_order': [{'fastqc': {'anchor': 'fastqc_raw', 'name': 'FastQC (raw)', 'info': 'This section of the report shows FastQC results before adapter trimming.', 'path_filters': ['*_raw*fastqc.zip']}}, 'cutadapt', 'fastp', {'seqkit': {'name': 'SeqKit Stats (rRNA removal)', 'info': 'Read length statistics used by RiboDetector for rRNA removal.', 'path_filters': ['*.rrna_removal_stats.tsv']}}, {'fastqc': {'anchor': 'fastqc_trimmed', 'name': 'FastQC (trimmed)', 'info': 'This section of the report shows FastQC results after adapter trimming.', 'path_filters': ['*_trimmed*fastqc.zip']}}, {'bowtie2': {'anchor': 'bowtie2_rrna', 'name': 'Bowtie2 (rRNA removal)', 'info': 'This section shows Bowtie2 alignment statistics for rRNA removal. Reads were aligned against an rRNA reference to filter out ribosomal RNA contamination.', 'path_filters': ['*.bowtie2_rrna.bowtie2.log']}}, {'fastqc': {'anchor': 'fastqc_filtered', 'name': 'FastQC (filtered)', 'info': 'This section of the report shows FastQC results after contaminant removal (BBSplit) and/or ribosomal RNA removal.', 'path_filters': ['*_filtered*fastqc.zip']}}, {'bowtie2': {'anchor': 'bowtie2_alignment', 'name': 'Bowtie2 (alignment)', 'info': 'This section shows Bowtie2 alignment statistics when using Bowtie2 as the primary aligner (e.g. for prokaryotic RNA-seq).', 'path_filters_exclude': ['*.bowtie2_rrna.bowtie2.log']}}], 'table_columns_visible': {'FastQC (raw)': {'percent_duplicates': False}, 'FastQC (trimmed)': {'percent_duplicates': False}, 'FastQC (filtered)': {'percent_duplicates': False}}, 'table_columns_name': {'FastQC (raw)': {'percent_gc': 'GC (raw)', 'avg_sequence_length': 'Avg len (raw)', 'median_sequence_length': 'Median len (raw)', 'percent_fails': 'Failed (raw)', 'total_sequences': 'Seqs (raw)'}, 'FastQC (trimmed)': {'percent_gc': 'GC (trim)', 'avg_sequence_length': 'Avg len (trim)', 'median_sequence_length': 'Median len (trim)', 'percent_fails': 'Failed (trim)', 'total_sequences': 'Seqs (trim)'}, 'FastQC (filtered)': {'percent_gc': 'GC (filt)', 'avg_sequence_length': 'Avg len (filt)', 'median_sequence_length': 'Median len (filt)', 'percent_fails': 'Failed (filt)', 'total_sequences': 'Seqs (filt)'}}, 'fn_ignore_files': ['*umi_dedup.transcriptome.sorted.log'], 'custom_data': {'fail_trimmed_samples': {'section_name': 'WARNING: Fail Trimming Check', 'description': "List of samples that failed the minimum trimmed reads threshold specified via the '--min_trimmed_reads' parameter, and hence were ignored for the downstream processing steps.", 'plot_type': 'table', 'pconfig': {'id': 'fail_trimmed_samples_table', 'title': 'Samples failed trimming threshold', 'namespace': 'Samples failed trimming threshold'}}, 'fail_mapped_samples': {'section_name': 'WARNING: Fail Alignment Check', 'description': "List of samples that failed the STAR minimum mapped reads threshold specified via the '--min_mapped_reads' parameter, and hence were ignored for the downstream processing steps.", 'plot_type': 'table', 'pconfig': {'id': 'fail_mapped_samples_table', 'title': 'Samples failed mapping threshold', 'namespace': 'Samples failed mapping threshold'}}}}
[2026-06-26 06:26:12,740] multiqc.config                                     [DEBUG  ]  Added to filename patterns: [{'cutadapt': {'fn': '*trimming_report.txt'}, 'fastp': {'fn': '*.fastp.json'}, 'bbmap/bbsplit': {'fn': '*.stats.txt'}, 'sortmerna': {'fn': '*.sortmerna.log'}, 'bowtie2': {'fn': '*.bowtie2.log'}, 'hisat2': {'fn': '*.hisat2.summary.log'}, 'seqkit/stats': {'fn': '*.rrna_removal_stats.tsv'}, 'salmon/meta': {'fn': 'meta_info.json'}, 'preseq': {'fn': '*.lc_extrap.txt'}, 'samtools/stats': {'fn': '*.stats'}, 'samtools/flagstat': {'fn': '*.flagstat'}, 'samtools/idxstats': {'fn': '*.idxstats*'}, 'kraken': [{'fn': '*.kraken2.report.txt'}, {'fn': '*.kraken2.report_bracken.txt'}], 'sylphtax': [{'fn': '*.sylphmpa'}], 'umitools/extract': {'fn': '*.umi_extract.log'}, 'umitools/dedup': {'fn': '*.umi_dedup*.log'}, 'umicollapse': {'fn': '*_UMICollapse.log'}, 'rseqc/bam_stat': {'fn': '*.bam_stat.txt'}, 'rseqc/gene_body_coverage': {'skip': True}, 'rseqc/junction_annotation': {'fn': '*.junction_annotation.log'}, 'rseqc/read_gc': {'skip': True}, 'rseqc/read_distribution': {'fn': '*.read_distribution.txt'}, 'rseqc/infer_experiment': {'fn': '*.infer_experiment.txt'}, 'rseqc/tin': {'fn': '*.summary.txt'}, 'picard/markdups': {'fn': '*.MarkDuplicates.metrics.txt'}, 'picard/alignment_metrics': {'skip': True}, 'picard/basedistributionbycycle': {'skip': True}, 'picard/gcbias': {'skip': True}, 'picard/hsmetrics': {'skip': True}, 'picard/insertsize': {'skip': True}, 'picard/oxogmetrics': {'skip': True}, 'picard/pcr_metrics': {'skip': True}, 'picard/quality_by_cycle': {'skip': True}, 'picard/quality_score_distribution': {'skip': True}, 'picard/quality_yield_metrics': {'skip': True}, 'picard/rnaseqmetrics': {'skip': True}, 'picard/rrbs_metrics': {'skip': True}, 'picard/sam_file_validation': {'skip': True}, 'picard/variant_calling_metrics': {'skip': True}, 'picard/wgs_metrics': {'skip': True}}]
[2026-06-26 06:26:12,740] multiqc.config                                     [DEBUG  ]  Added to filename clean extensions: [['.sortmerna', '.umi_dedup', '_val', '.markdup', '_primary', '.namesorted', '.umi_extract', {'type': 'remove', 'pattern': '_raw'}, {'type': 'remove', 'pattern': '_trimmed'}, {'type': 'remove', 'pattern': '_filtered'}]]
[2026-06-26 06:26:12,856] multiqc.config                                     [INFO   ]  Loading config settings from: 2/multiqc_sample_merge.yml
[2026-06-26 06:26:12,856] multiqc.config                                     [DEBUG  ]  New config: {'table_sample_merge': {'Read 1': [{'type': 'regex', 'pattern': '(?<=^SRX384345)_1$'}, {'type': 'regex', 'pattern': '(?<=^SRX384346)_1$'}, {'type': 'regex', 'pattern': '(?<=^SRX384349)_1$'}, {'type': 'regex', 'pattern': '(?<=^SRX384350)_1$'}, {'type': 'regex', 'pattern': '(?<=^SRX384353)_1$'}, {'type': 'regex', 'pattern': '(?<=^SRX384354)_1$'}, {'type': 'regex', 'pattern': '(?<=^SRX384357)_1$'}, {'type': 'regex', 'pattern': '(?<=^SRX384358)_1$'}], 'Read 2': [{'type': 'regex', 'pattern': '(?<=^SRX384345)_2$'}, {'type': 'regex', 'pattern': '(?<=^SRX384346)_2$'}, {'type': 'regex', 'pattern': '(?<=^SRX384349)_2$'}, {'type': 'regex', 'pattern': '(?<=^SRX384350)_2$'}, {'type': 'regex', 'pattern': '(?<=^SRX384353)_2$'}, {'type': 'regex', 'pattern': '(?<=^SRX384354)_2$'}, {'type': 'regex', 'pattern': '(?<=^SRX384357)_2$'}, {'type': 'regex', 'pattern': '(?<=^SRX384358)_2$'}]}}
[2026-06-26 06:26:12,856] multiqc.config                                     [DEBUG  ]  Loading sample replace config settings from: name_replacement.txt
[2026-06-26 06:26:12,857] multiqc.config                                     [DEBUG  ]  Found 16 sample replacing patterns
