Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRX384345_1	4.0	22935521	7615940	22935521	1444937823	11823536	1420577904	1.6858800850976134
SRX384345_2	4.0	22935521	7604448	22935521	1444937823	17285990	1415001814	2.071785271552131
SRX384346_1	4.0	21155707	7145663	21155707	1332809541	13087934	1307500790	1.8989022978490218
SRX384346_2	4.0	21155707	7070256	21155707	1332809541	26140519	1294313369	2.888347570735165
SRX384349_1	4.0	28136282	9150795	28136282	1772585766	25363296	1729303426	2.4417628094617116
SRX384349_2	4.0	28136282	9113837	28136282	1772585766	36721419	1719468747	2.9965838617706693
SRX384350_1	4.0	16823088	5571049	16823088	1059854544	18956774	1032858865	2.547111691205808
SRX384350_2	4.0	16823088	5522031	16823088	1059854544	30079570	1021841706	3.58660895640789
SRX384353_1	4.0	27298970	8941482	27298970	1719835110	31444044	1671014993	2.8386510262603024
SRX384353_2	4.0	27298970	8842393	27298970	1719835110	48483203	1655537203	3.7386088134925908
SRX384354_1	4.0	34298260	11143741	34298260	2160790380	41313432	2097608045	2.9240381475596906
SRX384354_2	4.0	34298260	11090023	34298260	2160790380	56127710	2084730959	3.519981470854197
SRX384357_1	4.0	21275888	6937775	21275888	1340380944	24508007	1302292802	2.8415908306138977
SRX384357_2	4.0	21275888	6885166	21275888	1340380944	35866465	1292178700	3.5961600480646645
SRX384358_1	4.0	23487860	7673951	23487860	1479735180	28616660	1436129852	2.9468332299837594
SRX384358_2	4.0	23487860	7610540	23487860	1479735180	43089390	1423031446	3.8320190508682774
