Sample	salmon-percent_mapped	salmon-num_mapped	salmon-library_types	salmon-compatible_fragment_ratio	salmon-strand_mapping_bias	fastqc_raw-percent_duplicates	fastqc_raw-percent_gc	fastqc_raw-avg_sequence_length	fastqc_raw-median_sequence_length	fastqc_raw-percent_fails	fastqc_raw-total_sequences	cutadapt-percent_trimmed	fastqc_trimmed-percent_duplicates	fastqc_trimmed-percent_gc	fastqc_trimmed-avg_sequence_length	fastqc_trimmed-median_sequence_length	fastqc_trimmed-percent_fails	fastqc_trimmed-total_sequences
SRX384345	88.89187256290715	20.202799	IU	100.0	0.4992861076290468	49.11752573821598	50.0	63.0	63.0	9.090909090909092	45.871041999999996	1.8788326783248726	49.18658648235389	50.0	62.11789503641114	63.0	18.181818181818183	45.454772
SRX384345 Read 1						50.2958558183271	50.0	63.0	63	9.090909090909092	22.935520999999998	1.6858800850976134	50.25242025669621	50.0	62.14160295425088	63	18.181818181818183	22.727386
SRX384345 Read 2						47.93919565810487	50.0	63.0	63	9.090909090909092	22.935520999999998	2.071785271552131	48.12075270801157	50.0	62.0941871185714	63	18.181818181818183	22.727386
SRX384346	88.0277593145057	18.305405999999998	IU	100.0	0.4989477131322454	48.00503303526255	49.0	63.0	63.0	4.545454545454546	42.311414	2.3936249342920934	48.0584017438748	49.0	62.060721168194064	63.0	13.636363636363635	41.590075999999996
SRX384346 Read 1						49.59447294108932	49.0	63.0	63	0.0	21.155707	1.8989022978490218	49.30077025394661	49.0	62.097332594439116	63	9.090909090909092	20.795037999999998
SRX384346 Read 2						46.41559312943577	49.0	63.0	63	9.090909090909092	21.155707	2.888347570735165	46.81603323380299	49.0	62.02410974194902	63	18.181818181818183	20.795037999999998
SRX384349	88.89205199991117	24.661706	IU	100.0	0.5009170626724292	56.13119869005675	49.0	63.0	63.0	9.090909090909092	56.272563999999996	2.7191733356161905	56.383689375673264	49.0	61.68833414337491	63.0	18.181818181818183	55.486864
SRX384349 Read 1						56.51450272725296	49.0	63.0	63	9.090909090909092	28.136281999999998	2.4417628094617116	56.422469661863026	49.0	61.696084320065374	63	18.181818181818183	27.743432
SRX384349 Read 2						55.747894652860545	49.0	63.0	63	9.090909090909092	28.136281999999998	2.9965838617706693	56.344909089483494	49.0	61.68058396668444	63	18.181818181818183	27.743432
SRX384350	88.94241027926995	14.697237	IU	100.0	0.5002247321603817	48.1306685144736	48.0	63.0	63.0	0.0	33.646176	3.0668603238068486	48.19485816691941	48.0	61.589407406313626	63.0	10.0	33.048884
SRX384350 Read 1						48.60897999352113	48.0	63.0	63	0.0	16.823088	2.547111691205808	48.45252398154637	48.0	61.67031770270972	63	10.0	16.524442
SRX384350 Read 2						47.652357035426064	48.0	63.0	63	0.0	16.823088	3.58660895640789	47.93719235229245	48.0	61.50849710991754	63	10.0	16.524442
SRX384353	87.85184872273757	23.541933999999998	IU	100.0	0.5005684063321251	54.72244511715798	49.0	63.0	63.0	10.0	54.597939999999994	3.288629919876447	55.0698663394006	49.0	61.46830788476098	63.0	20.0	53.594623999999996
SRX384353 Read 1						55.22749823169962	49.0	63.0	63	10.0	27.298969999999997	2.8386510262603024	55.101610898394284	49.0	61.49994962181282	63	20.0	26.797311999999998
SRX384353 Read 2						54.217392002616336	49.0	63.0	63	10.0	27.298969999999997	3.7386088134925908	55.03812178040691	49.0	61.43666614770915	63	20.0	26.797311999999998
SRX384354	88.75236390988258	29.943331999999998	IU	100.0	0.500514248929396	56.64174447044408	49.0	63.0	63.0	18.181818181818183	68.59652	3.222009809206944	56.91692282901894	49.0	61.44309973360359	63.0	22.727272727272727	67.476134
SRX384354 Read 1						57.04515073211442	49.0	63.0	63	18.181818181818183	34.29826	2.9240381475596906	56.93321281726996	49.0	61.45318624804438	63	27.27272727272727	33.738067
SRX384354 Read 2						56.23833820877373	49.0	63.0	63	18.181818181818183	34.29826	3.519981470854197	56.900632840767905	49.0	61.433013219162795	63	18.181818181818183	33.738067
SRX384357	88.77986088275873	18.569858	IU	100.0	0.5007785975832711	49.568246281524175	49.0	63.0	63.0	0.0	42.551776	3.2188754393392807	49.83203488432714	49.0	61.46034488347279	63.0	10.0	41.833492
SRX384357 Read 1						49.89066831402401	49.0	63.0	63	0.0	21.275888	2.8415908306138977	49.769747567908915	49.0	61.50997798605959	63	10.0	20.916746
SRX384357 Read 2						49.24582424902434	49.0	63.0	63	0.0	21.275888	3.5961600480646645	49.89432220074538	49.0	61.410711780886	63	10.0	20.916746
SRX384358	89.48786618657599	20.620323	IU	100.0	0.5010677729341232	51.819563085397334	49.0	63.0	63.0	10.0	46.975719999999995	3.3894261404260186	52.07714498404033	49.0	61.42287160762433	63.0	20.0	46.085181999999996
SRX384358 Read 1						52.31077362666788	49.0	63.0	63	10.0	23.487859999999998	2.9468332299837594	52.16784610655526	49.0	61.47537826800814	63	20.0	23.042590999999998
SRX384358 Read 2						51.3283525441268	49.0	63.0	63	10.0	23.487859999999998	3.8320190508682774	51.986443861525416	49.0	61.370364947240525	63	20.0	23.042590999999998
