gene_id	gene_name	SRX384345	SRX384346	SRX384349	SRX384350	SRX384353	SRX384354	SRX384357	SRX384358
A1BG	A1BG	166.456	183.612	115.149	77.488	62.294	105.253	103.091	122.814
A1BG-AS1	A1BG-AS1	64.41	94.448	127.886	104.184	35.209	85.3	78.153	160.28
A1CF	A1CF	2	0	1	0	1	2	0	0
A2M	A2M	20313.029	15689.718	32421.577	27372.756	2386.435	10072.698	32620.875	34008.73
A2M-AS1	A2M-AS1	52.867	35.885	29.748	12.787	27	18.679	27.438	16.643
A2ML1	A2ML1	0	0	1	0	2	0	2	0
A2MP1	A2MP1	0	0	1	0	1	0	0	0
A3GALT2	A3GALT2	0	0	0	0	1	0	0	0
A4GALT	A4GALT	819	1130.583	1332.999	994.609	1294.806	1763	909.301	1676.025
A4GNT	A4GNT	2	6	12	4	0	0	15	8
AA06	AA06	0	0	0	0	0	0	0	0
AAAS	AAAS	701.001	630	836.989	440.242	686	781.341	567.103	589.474
AACS	AACS	368	258.255	388.161	212	376.395	424	357.14	315.322
AACSP1	AACSP1	0	0	0	0	0	0	0	0
AADAC	AADAC	3	3	3	4	2	2	1	1
AADACL2	AADACL2	1	0	1	0	1	0	1	1
AADACL3	AADACL3	0	0	0	0	0	0	0	0
AADACL4	AADACL4	2	7	6	6	0	4	4	15
AADAT	AADAT	158	130	133	34	198	158	144.071	84
AAED1	AAED1	439	680	549	612.049	430	812.974	467	770.573
AAGAB	AAGAB	676	576	977.057	509.999	965.624	1017.999	650.359	559.001
AAK1	AAK1	1140	963	1367.005	800.384	1431.002	1665.208	1155.037	1035.002
AAMDC	AAMDC	222	259	327	190	283	392	184	316
AAMP	AAMP	1310.074	1489	1374.934	846.791	1303	1972.299	1049.149	1348.616
AANAT	AANAT	0	0	1	0	1	2	0	2
AAR2	AAR2	709	672	744	500.007	732.084	1044.017	543.022	697
AARD	AARD	1	2	0	2	0	1	0	4
AARS	AARS	3129.066	2057.087	3892.627	1585.856	3671.34	3380.051	3973.651	1960.803
AARS2	AARS2	661.123	345.003	598.028	153.11	550.433	475	371.493	232
AARSD1	AARSD1	337	257.136	319.861	153.938	287	332	223.838	227.183
AASDH	AASDH	262.048	206.001	330	168	290.999	366	268	258.01
AASDHPPT	AASDHPPT	631.988	582	744.976	438.987	778.944	871.971	572.096	603.995
AASS	AASS	716	1442.133	841.998	1047.163	680.06	1420.221	610.433	1594.015
AATF	AATF	717.824	729	722	532.001	830.332	1103.069	587	675.491
AATK	AATK	4	2	5	1	1	2	11	1
AATK-AS1	AATK-AS1	0	0	0	0	0	0	0	0
ABAT	ABAT	323	662.802	363	466.052	391	968.058	310	688
ABCA1	ABCA1	5576.653	5275.378	8624.016	5573.391	10975.363	11314.2	8136.659	10092.191
ABCA10	ABCA10	209	101	231	60	205	53.153	119.319	38.117
ABCA11P	ABCA11P	70.388	33.65	100.608	43.174	86.151	100.189	71.975	48.314
ABCA12	ABCA12	7	1	9	2	5	3	4	0
ABCA13	ABCA13	20	10.002	54	24.006	75	113	39	31
ABCA17P	ABCA17P	2	0	6	0	0	2	5	1
ABCA2	ABCA2	1221	811	1472.11	715.718	1379.053	2334.016	1362.647	1391.302
ABCA3	ABCA3	122	68	221	138.103	61	74	147	202.153
ABCA4	ABCA4	12	27	35.031	32	12	71.061	26	45
ABCA5	ABCA5	306	290	570.302	346	386.134	411.859	488.516	375.883
ABCA6	ABCA6	1412	2504	1638.036	2122.72	1629.002	3183.625	1498	3452.696
ABCA7	ABCA7	150	87	232	64	222.039	162	137	83
ABCA8	ABCA8	3895.551	4303.979	4459.102	2506.688	5143.594	5157.737	3297.491	3694.582
ABCA9	ABCA9	1122.612	1545.25	2250.058	1608.731	1892.657	1807.485	2227.486	2742.745
ABCB1	ABCB1	89.094	42	177.205	77.01	128.845	108.851	118.999	56.006
ABCB10	ABCB10	280	283.001	304	239.001	296	472	246.999	330
ABCB11	ABCB11	0	0	0	0	0	0	0	0
ABCB4	ABCB4	60.907	16	53.182	15.989	20.155	18.149	53.001	20.995
ABCB5	ABCB5	19.999	4	68.069	12	8	10.003	18	5.001
ABCB6	ABCB6	503	427.67	430	201	438.005	599	281	268
ABCB7	ABCB7	289.001	228	352.01	177	366.112	363.022	279	231
ABCB8	ABCB8	528	484.911	586.001	332	588.46	737.196	383.429	403.018
ABCB9	ABCB9	80	40	70	34	62.999	41	53	26
ABCC1	ABCC1	6131.067	4512.386	6317.531	2682.379	7349.657	6133.744	4760.004	3567.205
ABCC10	ABCC10	553	511.999	680	332	452	636	402.999	433
ABCC11	ABCC11	5	4	1	2	8	0	3	11
ABCC12	ABCC12	0	0	0	0	0	0	0	2
ABCC13	ABCC13	0	0	0	0	1	0	0	0
ABCC2	ABCC2	15	17	8	9	12	10	10	19
ABCC3	ABCC3	217	274	288	231	388	1072.006	275	390
ABCC4	ABCC4	1231.116	1264	903.003	928.744	1770.194	2901.336	714.02	1174.494
ABCC5	ABCC5	699	654	746	610	968	1326.999	637.265	933.999
ABCC5-AS1	ABCC5-AS1	0	0	0	0	0	0	1	1
ABCC6	ABCC6	109.547	37.796	149.345	26.281	170.461	130.397	138.281	41.394
ABCC6P1	ABCC6P1	12.112	6.147	19.465	4.468	16.955	4.384	9.218	3.554
ABCC6P2	ABCC6P2	10.341	10.057	12.19	4.25	2.583	1.219	10.501	6.052
ABCC8	ABCC8	0	0	0	0	0	0	0	0
ABCC9	ABCC9	508.924	840.943	809.616	959.164	509.587	1247.305	858.489	1657.521
ABCD1	ABCD1	431	445	578	303	437	527	377	469
ABCD2	ABCD2	2	1	2	1	0	0	0	1
ABCD3	ABCD3	1113	857	1025.274	637.451	1306.01	1468.322	893.326	864.538
ABCD4	ABCD4	497.339	360.001	610.999	268	489.999	528.999	473.656	466
ABCE1	ABCE1	1042.883	1147	1072.872	692.241	1395.735	2052.333	920	972.039
