gene_id	gene_name	SRX384345	SRX384346	SRX384349	SRX384350	SRX384353	SRX384354	SRX384357	SRX384358
A1BG	A1BG	166.595180048053	183.857201941632	115.094022998339	77.4570742760571	62.2050230154544	105.074669330685	103.094175601404	122.773634519671
A1BG-AS1	A1BG-AS1	64.4766983057397	94.5621175805163	127.741309090595	104.170955891926	35.1338452400173	85.1695582972304	78.1906201463147	160.292860041092
A1CF	A1CF	2.00296900871316	0	0.996322014634474	0	0.995159619172399	1.99755108057181	0	0
A2M	A2M	20339.0022421031	15700.8398868499	32332.1865934471	27390.1171198433	2377.68085227085	10061.5725616165	32676.673677628	34044.8312271776
A2M-AS1	A2M-AS1	52.9230713046002	35.9281486182144	29.7119032793546	12.7862007997208	26.9397222087256	18.6508886242858	27.4531577293546	16.6453264590965
A2ML1	A2ML1	0	0	0.996785186199362	0	1.99133634088695	0	2.00129183735017	0
A2MP1	A2MP1	0	0	0.995718264059986	0	0.994941001552184	0	0	0
A3GALT2	A3GALT2	0	0	0	0	0.994687720441382	0	0	0
A4GALT	A4GALT	815.134589006076	1127.13217150269	1338.68877840493	999.64316871708	1298.47169272988	1765.40677677607	907.662571125429	1666.13820099681
A4GNT	A4GNT	2.00268792817737	6.01101975844985	12.0001487006297	4.00039953919759	0	0	15.0080417236793	8.00139599779899
AA06	AA06	0	0	0	0	0	0	0	0
AAAS	AAAS	684.350576689867	607.800731284236	846.429098488391	433.921130574838	693.906511868838	780.759164085308	581.020820848879	606.217295621686
AACS	AACS	373.86338524115	256.109220342616	383.427325109301	214.044584089284	373.926142984679	422.155474314227	357.885164503277	315.993255545331
AACSP1	AACSP1	0	0	0	0	0	0	0	0
AADAC	AADAC	2.99078694572424	3.01676766584839	2.97468677390886	4.01418900701447	2.00644205552852	1.97970820248737	1.00386398366298	1.00352914631905
AADACL2	AADACL2	1.00021519477699	0	0.999821802047466	0	0.998940775148952	0	0.999130234707328	0.998822556918843
AADACL3	AADACL3	0	0	0	0	0	0	0	0
AADACL4	AADACL4	2.00255921385069	7.01530969271097	6.0061564599837	5.9995437946877	0	3.99512343694522	4.00060591347068	14.9976083454467
AADAT	AADAT	157.389139134207	129.502675712883	132.154023103708	33.8307007500326	196.988656541041	160.317380884353	143.449942372516	85.0183635874924
AAED1	AAED1	446.844286172355	677.290599678201	551.33123003325	585.719673216427	435.882188954877	822.946640156733	457.966638343882	785.728091756601
AAGAB	AAGAB	682.916867205132	548.20019249986	943.931396730165	493.958152512	934.113817134415	1198.43038034144	665.56438725467	540.733637737711
