gene_id,gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
CACNB2,CACNB2,541.5721429706413,3.3739491717438237,0.13337416196871363,2.4609157883989578e-142,3.5754645489648456e-138
DUSP1,DUSP1,3326.1968536174436,2.9250206463799353,0.12039710153383663,1.0980025491794235e-132,7.976439518513922e-129
SPARCL1,SPARCL1,996.0372636249448,4.552365598805574,0.18842034072499525,4.2617863134183195e-132,2.0639831115884922e-128
MAOA,MAOA,2333.9385260635104,3.335902963794294,0.14415255116987127,4.528400140686679e-121,1.644828141100919e-117
SAMHD1,SAMHD1,12559.58909055156,3.7315270122650364,0.1621593550580431,1.9737386232219326e-120,5.735289691358292e-117
SERPINA3,SERPINA3,2651.52570963581,3.2123286128692294,0.144849202637189,1.6116415179267583e-111,3.902589935659646e-108
GPX3,GPX3,12159.860633627934,3.708895945392897,0.16901480755806558,7.779350967352662e-110,1.614659860066669e-106
NEXN,NEXN,5857.283162772636,1.9905127045631108,0.09115608838577323,1.1613770696449835e-107,2.1092059306089958e-104
MT2A,MT2A,3608.6284142032055,2.176255782559528,0.10213899116492345,1.96246746389952e-102,3.1680766425551253e-99
FGD4,FGD4,1205.94747245529,2.1506862820706436,0.10180927388699654,2.287501936966759e-100,3.3235115642190045e-97
STEAP2,STEAP2,2946.664600300851,1.98037445996953,0.09632808445925524,2.7681718320638343e-95,3.656251686186859e-92
KLF15,KLF15,541.5584238055045,4.4336440128037715,0.21731063170204473,2.2616981825566226e-94,2.738351074530431e-91
ADAMTS1,ADAMTS1,29593.5282652684,2.3293206053110245,0.1174495389592696,4.153577569522432e-89,4.642102192891646e-86
SORT1,SORT1,5501.771436520807,2.187640358118826,0.11140434308889294,1.9936600409056513e-87,2.0689919095941576e-84
PDPN,PDPN,1089.1601384878647,1.879053864632144,0.09594027127757701,1.0119737717463907e-86,9.801977953135541e-84
VCAM1,VCAM1,505.82385834767223,-3.664487834130041,0.19431625455472054,1.135694944957729e-81,1.0312819909556777e-78
PER1,PER1,763.0389862679939,3.1836439537365595,0.1706383477546476,4.1355435755737475e-80,3.534430153500646e-77
KCTD12,KCTD12,2626.7791675595095,-2.5223910257979045,0.13637568346132492,1.8584777415375144e-78,1.5001012837110303e-75
ADAM12,ADAM12,1342.6229391814093,-1.7956907018688903,0.09693630367897557,7.754431661052583e-78,5.929691452812262e-75
