ID,Description,ORA_padjust,GSEA_padjust,GSEA_NES,direction
GO:0030198,extracellular matrix organization,5.516768297896746e-15,0.22282985815779288,1.4431559656609745,up
GO:0043062,extracellular structure organization,5.516768297896746e-15,0.22282985815779288,1.4431559656609745,up
GO:0045229,external encapsulating structure organization,9.216328739466978e-15,0.22267967922493137,1.4395768783052632,up
GO:0006935,chemotaxis,7.558749773375496e-8,0.32809659298255844,-1.2840875516084207,down
GO:0042330,taxis,7.558749773375496e-8,0.32809659298255844,-1.2840875516084207,down
GO:0070482,response to oxygen levels,1.1152986380586827e-7,0.43074101247248714,1.266020166312767,up
GO:0007015,actin filament organization,1.6338784111458287e-7,0.19661989674510674,1.4017995684852353,up
GO:0009611,response to wounding,3.160753826823654e-7,0.32192415936616287,1.324300150624303,up
GO:0043434,response to peptide hormone,4.936599153380625e-7,0.12233279744702706,1.519247165080887,up
GO:0090257,regulation of muscle system process,4.936599153380625e-7,0.11918981457144925,1.6889894017724991,up
GO:0032970,regulation of actin filament-based process,5.318570862401202e-7,0.2018959672402158,1.4094490496031968,up
GO:0003018,vascular process in circulatory system,5.323680455778713e-7,0.4276229535751505,1.3224846115836828,up
GO:0036293,response to decreased oxygen levels,8.17437320706835e-7,0.4228402023129245,1.3096052113033065,up
GO:0001666,response to hypoxia,1.219197131549488e-6,0.37882891911269223,1.3230998287635918,up
GO:0003012,muscle system process,1.7835803109333042e-6,0.06073144089812202,1.6570934466551597,up
GO:0043269,regulation of monoatomic ion transport,2.4163519674299016e-6,0.20016688761602427,-1.3815427720525615,down
GO:0042060,wound healing,3.300018045074681e-6,0.24856951493508198,1.367406371656363,up
GO:0010959,regulation of metal ion transport,3.300018045074681e-6,0.18536383685978322,-1.4287547695737055,down
GO:0071375,cellular response to peptide hormone stimulus,4.5368497341036985e-06,0.10962369604374514,1.6328996931743474,up
GO:0007411,axon guidance,4.5368497341036985e-06,0.16723915212933094,-1.5588488375981184,down
GO:2000146,negative regulation of cell motility,5.315448689852222e-6,0.17976300727469496,1.5081418095374934,up
GO:0007160,cell-matrix adhesion,5.53516998179694e-6,0.1631274094383354,1.5733761295686974,up
GO:0040013,negative regulation of locomotion,6.0447548910885675e-6,0.1917352706614459,1.4766364748104504,up
GO:0097485,neuron projection guidance,6.0447548910885675e-6,0.18422595585235282,-1.5515625843939624,down
GO:0031589,cell-substrate adhesion,1.0031639421268346e-5,0.07896122875326815,1.6688409691563972,up
GO:0030336,negative regulation of cell migration,1.0031639421268346e-5,0.1695287239155342,1.5159190298086853,up
GO:0043270,positive regulation of monoatomic ion transport,1.0567724851184906e-5,0.35379659414598064,-1.4189018720919842,down
GO:0007162,negative regulation of cell adhesion,1.0567724851184906e-5,0.21625103248364105,1.4542913661534904,up
GO:0007507,heart development,1.2290180217507563e-5,0.37882891911269223,-1.2569643856073183,down
GO:0022407,regulation of cell-cell adhesion,1.2325485817563028e-5,0.15358835201476287,1.4754771573208738,up
GO:0007423,sensory organ development,1.3101583116316277e-5,0.36627944044618627,-1.2933802243107437,down
GO:0034762,regulation of transmembrane transport,3.0339945221082647e-5,0.44456288115749565,1.3221836348640623,up
GO:0032956,regulation of actin cytoskeleton organization,4.344033016713264e-5,0.37882891911269223,1.3179696229533542,up
GO:0007044,cell-substrate junction assembly,4.5684620395854154e-5,0.2018959672402158,1.5948060963643407,up
GO:0150115,cell-substrate junction organization,4.964586353923213e-5,0.18422595585235282,1.629101166982727,up
GO:1903131,mononuclear cell differentiation,7.74207404539999e-5,0.44071827526489255,-1.2011637846795515,down
GO:0008544,epidermis development,1.0528686195301251e-4,0.3711976876858768,1.434831556619098,up
GO:0062197,cellular response to chemical stress,1.0528686195301251e-4,0.3981631500012462,1.3195200463610015,up
GO:0045926,negative regulation of growth,1.0528686195301251e-4,0.20016688761602427,1.527058940926436,up
GO:0001503,ossification,1.352611354270462e-4,0.4481007482520342,1.2898328158887125,up
GO:0003007,heart morphogenesis,1.448063732923429e-4,0.4228402023129245,-1.321816439276394,down
GO:0030048,actin filament-based movement,1.63445472611846e-4,0.2971004967590177,1.4749002034028518,up
GO:0001837,epithelial to mesenchymal transition,1.8518915658126493e-4,0.4481007482520342,-1.3091834428005127,down
GO:0061564,axon development,2.0924697431670849e-4,0.14127544417624935,-1.484511342746029,down
GO:0045785,positive regulation of cell adhesion,2.488434912917244e-4,0.18422595585235282,1.4486379401548848,up
GO:0048667,cell morphogenesis involved in neuron differentiation,2.578600029654293e-4,0.1124585593325682,-1.456122981535188,down
GO:0048041,focal adhesion assembly,3.018994088428795e-4,0.32756052310748446,1.4967665465572373,up
GO:0071453,cellular response to oxygen levels,3.448320063273108e-4,0.38407365529514154,1.3661989257955929,up
GO:0006937,regulation of muscle contraction,4.1512699395548696e-4,0.26666411481401514,1.5088623442665352,up
GO:0001952,regulation of cell-matrix adhesion,4.780582373551889e-4,0.14582060739118316,1.7150063387520762,up
GO:0030856,regulation of epithelial cell differentiation,5.017144967852089e-4,0.3540409502594337,1.5125435654827228,up
GO:0010810,regulation of cell-substrate adhesion,5.24338681525261e-4,0.06073144089812202,1.7547247242070911,up
GO:0008154,actin polymerization or depolymerization,5.487139989849841e-4,0.4228402023129245,1.3809963100293094,up
GO:0006936,muscle contraction,5.806725449551556e-4,0.2018959672402158,1.4206837061021924,up
GO:0007409,axonogenesis,6.799025442176989e-4,0.12233279744702706,-1.4848366704379024,down
GO:0007599,hemostasis,7.433608041989409e-4,0.32756052310748446,1.4520124505289354,up
GO:0034109,homotypic cell-cell adhesion,7.557859998075319e-4,0.2671854790435535,1.6156206879756776,up
GO:0030183,B cell differentiation,8.143950127281504e-4,0.34475918042593506,-1.4429244361261406,down
GO:0035904,aorta development,8.32189567614452e-4,0.3664854936480873,-1.5212598436660596,down
GO:0007596,blood coagulation,0.0010063468387300882,0.20193414955028965,1.5224938908779078,up
GO:0050817,coagulation,0.0010063468387300882,0.20193414955028965,1.5224938908779078,up
GO:0090596,sensory organ morphogenesis,0.001145528096990555,0.18631156146990055,-1.6133509478543493,down
GO:0006869,lipid transport,0.001179465367255755,0.3981631500012462,1.3003662695021934,up
GO:0010876,lipid localization,0.0012382463052825175,0.35234925902759806,1.301275659531204,up
GO:0003158,endothelium development,0.0012382463052825175,0.2628613452248919,1.5402629177660414,up
GO:0003208,cardiac ventricle morphogenesis,0.0012382463052825175,0.2549753249376465,-1.5725711414829084,down
GO:0150116,regulation of cell-substrate junction organization,0.0013170443664194988,0.20016688761602427,1.6860260222123022,up
GO:0007613,memory,0.0015150397986456708,0.12233279744702706,-1.747817703802252,down
GO:0045446,endothelial cell differentiation,0.0015711415677761046,0.2783527719106298,1.4832177855798565,up
GO:0046486,glycerolipid metabolic process,0.0019132110476953687,0.2628613452248919,1.376152421324771,up
GO:0014706,striated muscle tissue development,0.0025450635465094893,0.3051423366486698,-1.3313125675985813,down
GO:0051893,regulation of focal adhesion assembly,0.0026395432152276645,0.19272719243040562,1.6970768165265087,up
GO:0090109,regulation of cell-substrate junction assembly,0.0026395432152276645,0.19272719243040562,1.6970768165265087,up
GO:0060537,muscle tissue development,0.0029653665191298017,0.3926761915140952,-1.2961271366568914,down
GO:1903053,regulation of extracellular matrix organization,0.003059842721031193,0.20016688761602427,1.6512521853981883,up
GO:0010975,regulation of neuron projection development,0.0032226928241375742,0.3455148532636897,-1.312068209529411,down
GO:0007610,behavior,0.0033021157461355535,0.1389436728120788,-1.4826527768344906,down
GO:0034764,positive regulation of transmembrane transport,0.0034279569911368148,0.4412371730018788,1.4054350950706436,up
GO:0043500,muscle adaptation,0.0034292174773762514,0.06073144089812202,1.9056961690025565,up
GO:0031667,response to nutrient levels,0.003441430716484104,0.2725971450000705,1.3204288138684501,up
GO:0001704,formation of primary germ layer,0.0034827908300024296,0.43150035792016433,1.4113299949020026,up
GO:0044282,small molecule catabolic process,0.004065321667617107,0.1124585593325682,1.5688344337621771,up
GO:0034599,cellular response to oxidative stress,0.004070266739042606,0.2939487294212437,1.3862923464223273,up
GO:0006644,phospholipid metabolic process,0.00408547672229943,0.198365253975126,1.4241410424357634,up
GO:0007492,endoderm development,0.004570638019846147,0.12233279744702706,1.866936210204963,up
GO:0070542,response to fatty acid,0.004570638019846147,0.4481007482520342,1.4785275795505084,up
GO:0019722,calcium-mediated signaling,0.004800023455831244,0.20016688761602427,1.5974154083176235,up
GO:0045444,fat cell differentiation,0.004844985403907153,0.38748561732571307,1.3908129938443186,up
GO:0003014,renal system process,0.004962840893885254,0.34484181189161506,-1.4674360351870888,down
GO:0055080,monoatomic cation homeostasis,0.005158752930729872,0.4228402023129245,1.2857235428471427,up
GO:0008286,insulin receptor signaling pathway,0.005251656532981996,0.11896912385387884,1.7536319548820194,up
GO:0032869,cellular response to insulin stimulus,0.005327179346669334,0.06095960185241024,1.8009001095183363,up
GO:0030041,actin filament polymerization,0.005475607096285405,0.42873041466577866,1.4167958696129481,up
GO:0006979,response to oxidative stress,0.0058044154930704224,0.12233279744702706,1.5011808928114314,up
GO:0030162,regulation of proteolysis,0.005894317895472091,0.3809173677599726,1.4063173119443924,up
GO:0035633,maintenance of blood-brain barrier,0.005894317895472091,0.33784893036648467,1.5969671088034543,up
GO:1902905,positive regulation of supramolecular fiber organization,0.005930202291047451,0.44071827526489255,1.3629404610100122,up
GO:0030216,keratinocyte differentiation,0.006166188479062217,0.18536383685978322,1.633206531126375,up
GO:0032835,glomerulus development,0.007044920010525477,0.3019961575880647,1.6145180127741585,up
GO:0061448,connective tissue development,0.00738380099788827,0.3178126667111134,1.4464927705110098,up
GO:0019216,regulation of lipid metabolic process,0.007597443715983594,0.4097571991911321,1.3286042422613498,up
GO:0050767,regulation of neurogenesis,0.007806352538471721,0.14618573621334036,-1.5099574514335112,down
GO:0007229,integrin-mediated signaling pathway,0.008025398289850902,0.18536383685978322,1.6730969390684305,up
GO:0022409,positive regulation of cell-cell adhesion,0.008107507198837441,0.15358835201476287,1.5577088733875402,up
GO:0010038,response to metal ion,0.008198892081292024,0.2628613452248919,1.4066856637931544,up
GO:1904062,regulation of monoatomic cation transmembrane transport,0.008300938775920022,0.3809173677599726,-1.318015376601445,down
GO:0048738,cardiac muscle tissue development,0.008506385945809592,0.2628613452248919,-1.4499390470053841,down
GO:0021953,central nervous system neuron differentiation,0.008506385945809592,0.20016688761602427,-1.6336706652209003,down
GO:0001706,endoderm formation,0.008506385945809592,0.11942825790995268,1.8579354753826893,up
GO:0060840,artery development,0.009510228596530687,0.1822834896776032,-1.6913892200311642,down
GO:0032868,response to insulin,0.009510228596530687,0.07675886470272583,1.690392745752477,up
GO:0007517,muscle organ development,0.009510228596530687,0.3752283289654297,-1.329329289715446,down
GO:1901890,positive regulation of cell junction assembly,0.010301807334371329,0.2674943998850076,-1.5158337755210531,down
GO:0043409,negative regulation of MAPK cascade,0.010773872207806809,0.4077715499104006,1.4030804107544113,up
GO:0003231,cardiac ventricle development,0.011038943261858333,0.3809173677599726,-1.4604461832887439,down
GO:0050886,endocrine process,0.01114454088225418,0.20016688761602427,1.662906745710113,up
GO:0032355,response to estradiol,0.011369285848217938,0.3876378055429525,1.466745992233178,up
GO:0042325,regulation of phosphorylation,0.011505199999928583,0.40936352413538274,-1.246529084489567,down
GO:0007200,phospholipase C-activating G protein-coupled receptor signaling pathway,0.011714567203847474,0.2725971450000705,-1.5103235316982109,down
GO:0016042,lipid catabolic process,0.012125983406088925,0.2674943998850076,1.397350711866234,up
GO:0003205,cardiac chamber development,0.012125983406088925,0.4080332239147499,-1.3633360233018852,down
GO:0043502,regulation of muscle adaptation,0.012236633557711638,0.1822834896776032,1.6997389881143383,up
GO:0051960,regulation of nervous system development,0.012429941280482333,0.06073144089812202,-1.6410307859789421,down
GO:0042391,regulation of membrane potential,0.012476487887271326,0.2549753249376465,-1.342795262857281,down
GO:0048589,developmental growth,0.012730695412195606,0.3394648242649133,-1.2462438892142274,down
GO:0050804,modulation of chemical synaptic transmission,0.012737253063023304,0.12233279744702706,-1.4547280772326912,down
GO:0050803,regulation of synapse structure or activity,0.013827768775963282,0.4481007482520342,-1.2563530654901893,down
GO:0009913,epidermal cell differentiation,0.01415895213584361,0.34475918042593506,1.4700543860172053,up
GO:0072537,fibroblast activation,0.014504804151527094,0.4481007482520342,1.5588751458381693,up
GO:0040008,regulation of growth,0.014669087433573836,0.2783527719106298,1.3249616474803367,up
GO:0072577,endothelial cell apoptotic process,0.014669087433573836,0.2628613452248919,1.6374913762309191,up
GO:0007611,learning or memory,0.014837728312733847,0.17294000977226073,-1.5525270154244448,down
GO:0045165,cell fate commitment,0.014837728312733847,0.20016688761602427,-1.4935101527529346,down
GO:0007369,gastrulation,0.014837728312733847,0.3451772404535005,1.5232760926853135,up
GO:0050807,regulation of synapse organization,0.015037030838790624,0.43150035792016433,-1.2475532009547134,down
GO:0099177,regulation of trans-synaptic signaling,0.0154431843986633,0.12233279744702706,-1.4410077314158143,down
GO:0016054,organic acid catabolic process,0.016852314117266114,0.10962369604374514,1.6625406059903662,up
GO:0046395,carboxylic acid catabolic process,0.016852314117266114,0.10962369604374514,1.6625406059903662,up
GO:0002064,epithelial cell development,0.01739839812796369,0.2628613452248919,1.5110477791143444,up
GO:0045017,glycerolipid biosynthetic process,0.018424476277902505,0.42675421593332047,1.3011015532298462,up
GO:2000351,regulation of endothelial cell apoptotic process,0.019351978920052856,0.44456288115749565,1.5173267919201519,up
GO:0048608,reproductive structure development,0.019787103562355874,0.2363659829165492,1.5430798000629713,up
GO:0046631,alpha-beta T cell activation,0.019787103562355874,0.3586349222122808,1.3970199903700167,up
GO:0006959,humoral immune response,0.020996390895576568,0.2628613452248919,-1.517690854431585,down
GO:0042113,B cell activation,0.02108476646556226,0.34424306668727844,-1.340607974083471,down
GO:0035987,endodermal cell differentiation,0.022819441979054216,0.20016688761602427,1.6582925862883815,up
GO:0048009,insulin-like growth factor receptor signaling pathway,0.02290699472405864,0.209293889313685,1.6583642564938372,up
GO:0009792,embryo development ending in birth or egg hatching,0.023492602302417523,0.1822834896776032,-1.4903167697137083,down
GO:0061458,reproductive system development,0.023508150756910116,0.20193414955028965,1.5483972109223363,up
GO:0010827,regulation of D-glucose transmembrane transport,0.025375701543949178,0.12233279744702706,1.8351508287131622,up
GO:0043266,regulation of potassium ion transport,0.025375701543949178,0.3981631500012462,-1.462985173359127,down
GO:0046620,regulation of organ growth,0.025375701543949178,0.32192415936616287,-1.5045134332821422,down
GO:0006665,sphingolipid metabolic process,0.02655704535486066,0.24856951493508198,1.5327625472552608,up
GO:0062013,positive regulation of small molecule metabolic process,0.027328848716498662,0.2018959672402158,1.5826009254417335,up
GO:0007204,positive regulation of cytosolic calcium ion concentration,0.02772332739572818,0.29407452688571994,-1.5035473722664146,down
GO:2001044,regulation of integrin-mediated signaling pathway,0.02772332739572818,0.33181015168245215,1.639627691666158,up
GO:0014743,regulation of muscle hypertrophy,0.02815534571962739,0.22282985815779288,1.6915345829605095,up
GO:0048593,camera-type eye morphogenesis,0.02815534571962739,0.3887194356721225,-1.4804245490355912,down
GO:0045685,regulation of glial cell differentiation,0.03050088132401543,0.33132280377219986,-1.5260642156518232,down
GO:1901185,negative regulation of ERBB signaling pathway,0.03050088132401543,0.20016688761602427,1.6988433843943995,up
GO:0010811,positive regulation of cell-substrate adhesion,0.031004585488688965,0.438234956361966,1.3660431375809634,up
GO:0046394,carboxylic acid biosynthetic process,0.031004585488688965,0.2363659829165492,1.4292280464618594,up
GO:0010611,regulation of cardiac muscle hypertrophy,0.03220254017932535,0.2165405021067563,1.6615800698498249,up
GO:0008643,carbohydrate transport,0.032895566983982986,0.23368342309498938,1.5978116205392081,up
GO:0071248,cellular response to metal ion,0.032895566983982986,0.2997698268679283,1.4633935934627864,up
GO:0007498,mesoderm development,0.03387247342429589,0.35234925902759806,-1.4931354873591611,down
GO:0038066,p38MAPK cascade,0.03387247342429589,0.22282985815779288,1.6229760130845565,up
GO:0010742,macrophage derived foam cell differentiation,0.033956663311266705,0.12233279744702706,1.880469275127024,up
GO:0045604,regulation of epidermal cell differentiation,0.033956663311266705,0.2628613452248919,1.6631049039492185,up
GO:0060986,endocrine hormone secretion,0.033956663311266705,0.13704278723608337,1.8608084650791006,up
GO:0046626,regulation of insulin receptor signaling pathway,0.03467694859789621,0.29502061410476016,1.5837358224912879,up
GO:0043009,chordate embryonic development,0.03569596833968016,0.12233279744702706,-1.5703855336852846,down
GO:0048167,regulation of synaptic plasticity,0.03576854907683831,0.2671854790435535,-1.4048533619390422,down
GO:0001934,positive regulation of protein phosphorylation,0.036395908482829885,0.3394648242649133,-1.3439763112302268,down
GO:0001932,regulation of protein phosphorylation,0.03803738010004174,0.27306013286017394,-1.3259303261815636,down
GO:0046337,phosphatidylethanolamine metabolic process,0.03940394586483084,0.35234925902759806,1.5908103338962831,up
GO:0046324,regulation of D-glucose import across plasma membrane,0.039733978340599566,0.12233279744702706,1.8066980620289441,up
GO:0048644,muscle organ morphogenesis,0.039733978340599566,0.2505083932043655,-1.6332247840873328,down
GO:0060415,muscle tissue morphogenesis,0.039733978340599566,0.2505083932043655,-1.6332247840873328,down
GO:0003300,cardiac muscle hypertrophy,0.042277645643386215,0.06095960185241024,1.9166869924833385,up
GO:0170040,proteinogenic amino acid catabolic process,0.042277645643386215,0.20016688761602427,1.6106648194405564,up
GO:0050890,cognition,0.044074597441243465,0.20016688761602427,-1.4438546847557663,down
GO:0034219,carbohydrate transmembrane transport,0.044074597441243465,0.26616174957837563,1.5533434396558763,up
GO:0044320,cellular response to leptin stimulus,0.044074597441243465,0.15358835201476287,1.895511219649202,up
GO:1904659,D-glucose transmembrane transport,0.044074597441243465,0.12233279744702706,1.825893298129658,up
GO:0001885,endothelial cell development,0.044074597441243465,0.24856951493508198,1.6225632101732201,up
GO:0045687,positive regulation of glial cell differentiation,0.044074597441243465,0.16821354840087152,-1.7504321028422123,down
GO:0007266,Rho protein signal transduction,0.04459225335911188,0.1892203022241242,1.5416085623043203,up
GO:0016053,organic acid biosynthetic process,0.04459225335911188,0.2549753249376465,1.4326764449816303,up
GO:0090077,foam cell differentiation,0.0455536169728557,0.12233279744702706,1.8422172052368113,up
GO:0046632,alpha-beta T cell differentiation,0.047952854597539875,0.16132714131425552,1.6650069037697433,up
GO:0006112,energy reserve metabolic process,0.04961007355349748,0.12233279744702706,1.8589383377985302,up
