ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0001944,vasculature development,222/3264,447/11134,0.49664429530201343,1.6941291617318066,9.6462821478095009,2.2089409465649384e-20,1.0708945708946821e-16,1.0708945708946821e-16,ANGPTL4/CTH/ACTA2/TMEM204/BMPER/ENG/EPHB2/PTGS2/SLC2A10/ANGPTL7/MTDH/THY1/HIF1A/FMNL3/EMP2/FZD4/NUS1/HIF3A/NR2F2/ACTG1/PIK3R3/ANGPT1/GLUL/PIK3C2A/EMILIN2/ITGB3/IL6R/TGFBI/COL4A3/PIK3CA/UNC5B/JAG1/MDK/PDPN/PKD1/IL6/CD40/ROBO1/GPNMB/LDLR/HOXA3/PDGFRA/EGR3/RBPJ/RORA/PXDN/CCL11/SVEP1/ELMO1/PDGFRB/PLXDC1/PTPRJ/FBLN5/MYH9/STIM1/EPHB3/HDAC9/ROCK1/ADAMTS1/SLC1A1/DAG1/WNT5A/STARD13/TCF21/CCBE1/PTK2B/FGFR2/HAND2/ITGB1BP1/ANXA2/GAB1/TGFBR2/PDGFA/PARVA/EPHB4/AAMP/TJP1/TLR3/ADAM12/SOX4/LOXL1/GREM1/HPSE/DDIT3/CAV1/KLF4/MMP19/GRN/THBS1/STAT1/BCAM/PRKD1/F3/DSP/SAT1/SHB/SMAD1/SFRP2/PTPRM/PDCD4/MMP2/RHOB/PIK3CD/SPRY2/ADM/HIPK2/PTGIS/ITGB1/S1PR1/NRXN3/RRAS/RHOJ/TYMP/RIN2/NPR3/AKT1/DDAH1/SRF/TNFAIP2/E2F7/CUL7/ADM2/EPN2/THBS2/LOX/NOTCH3/HSPB1/TNFAIP3/TBX2/COL4A1/COL1A1/PACSIN2/MEIS3/AGO2/CXCL12/HDAC5/JAK1/HGS/ATP7A/BRCA1/DLL1/COL4A2/EPAS1/ANG/MCAM/JMJD6/LOXL2/STAT3/FGF10/NR4A1/CCL2/MYLK/CSPG4/RAPGEF3/MEF2C/VEGFC/HMOX1/TBX5/NDNF/ISM1/CFLAR/SLC31A1/PKM/AGO1/PPARG/AMOTL2/ANXA1/HDAC7/FGF1/ANPEP/PKD2/BTG1/C6/SEMA5A/PIK3CB/AGTR1/NOTCH1/SPRED1/COL15A1/COL3A1/ITGB8/EDNRA/SFRP1/VEGFA/LEP/RGCC/CREB3L1/ARHGAP22/EGR2/HIPK1/TNFSF12/TGFB2/TGM2/PDCD10/GPER1/SLIT2/COL1A2/ERRFI1/ACVRL1/NPR1/PLEKHG5/SPHK1/ERAP1/COL18A1/APOD/MFGE8/APOLD1/IL12A/NINJ1/COL8A1/ROCK2/AMOT/SULF1/DLL4/VASH2/GATA6/RELA/NRP2/PLK2/TMEM100/SPARC/RUNX1,222
GO:0001568,blood vessel development,213/3264,428/11134,0.4976635514018692,1.6976059991753714,9.47790355502089,9.99501990236981e-20,2.422792824334442e-16,2.422792824334442e-16,ANGPTL4/ACTA2/BMPER/ENG/EPHB2/PTGS2/SLC2A10/MTDH/THY1/HIF1A/FMNL3/EMP2/FZD4/NUS1/HIF3A/ACTG1/PIK3R3/ANGPT1/GLUL/PIK3C2A/EMILIN2/ITGB3/IL6R/TGFBI/COL4A3/PIK3CA/UNC5B/JAG1/MDK/PKD1/IL6/CD40/ROBO1/GPNMB/LDLR/HOXA3/PDGFRA/EGR3/RBPJ/RORA/PXDN/CCL11/ELMO1/PDGFRB/PLXDC1/PTPRJ/FBLN5/MYH9/STIM1/EPHB3/HDAC9/ROCK1/ADAMTS1/SLC1A1/DAG1/WNT5A/STARD13/TCF21/CCBE1/PTK2B/FGFR2/HAND2/ITGB1BP1/ANXA2/GAB1/TGFBR2/PDGFA/PARVA/EPHB4/AAMP/TJP1/TLR3/ADAM12/SOX4/LOXL1/GREM1/HPSE/DDIT3/CAV1/KLF4/MMP19/GRN/THBS1/STAT1/BCAM/PRKD1/F3/DSP/SAT1/SHB/SMAD1/SFRP2/PTPRM/MMP2/RHOB/PIK3CD/SPRY2/ADM/HIPK2/PTGIS/ITGB1/S1PR1/NRXN3/RRAS/RHOJ/TYMP/RIN2/NPR3/AKT1/DDAH1/SRF/TNFAIP2/E2F7/CUL7/ADM2/EPN2/THBS2/LOX/NOTCH3/HSPB1/TNFAIP3/TBX2/COL4A1/COL1A1/PACSIN2/MEIS3/AGO2/HDAC5/JAK1/HGS/ATP7A/BRCA1/DLL1/COL4A2/EPAS1/ANG/MCAM/JMJD6/LOXL2/STAT3/FGF10/NR4A1/CCL2/MYLK/CSPG4/RAPGEF3/MEF2C/VEGFC/HMOX1/TBX5/NDNF/ISM1/CFLAR/SLC31A1/PKM/AGO1/PPARG/AMOTL2/ANXA1/HDAC7/FGF1/ANPEP/PKD2/BTG1/C6/SEMA5A/PIK3CB/AGTR1/NOTCH1/SPRED1/COL15A1/COL3A1/ITGB8/EDNRA/SFRP1/VEGFA/LEP/RGCC/CREB3L1/ARHGAP22/EGR2/HIPK1/TNFSF12/TGFB2/TGM2/PDCD10/GPER1/SLIT2/COL1A2/ACVRL1/NPR1/PLEKHG5/SPHK1/ERAP1/COL18A1/APOD/MFGE8/APOLD1/IL12A/NINJ1/COL8A1/ROCK2/AMOT/SULF1/DLL4/VASH2/GATA6/RELA/NRP2/PLK2/TMEM100/SPARC/RUNX1,213
GO:0048514,blood vessel morphogenesis,200/3264,400/11134,0.5,1.7055759803921566,9.255221170279633,7.158217328654069e-19,1.1567679203104977e-15,1.1567679203104977e-15,ANGPTL4/BMPER/ENG/EPHB2/PTGS2/MTDH/THY1/HIF1A/FMNL3/EMP2/FZD4/NUS1/HIF3A/ACTG1/PIK3R3/ANGPT1/GLUL/PIK3C2A/EMILIN2/ITGB3/TGFBI/COL4A3/PIK3CA/UNC5B/JAG1/MDK/IL6/CD40/ROBO1/GPNMB/LDLR/HOXA3/PDGFRA/EGR3/RBPJ/RORA/PXDN/CCL11/ELMO1/PDGFRB/PLXDC1/PTPRJ/FBLN5/MYH9/STIM1/EPHB3/HDAC9/ROCK1/ADAMTS1/SLC1A1/DAG1/WNT5A/STARD13/TCF21/CCBE1/PTK2B/FGFR2/HAND2/ITGB1BP1/ANXA2/GAB1/TGFBR2/PDGFA/PARVA/EPHB4/AAMP/TJP1/TLR3/ADAM12/SOX4/GREM1/HPSE/CAV1/KLF4/MMP19/GRN/THBS1/STAT1/BCAM/PRKD1/F3/DSP/SAT1/SHB/SMAD1/SFRP2/PTPRM/MMP2/RHOB/PIK3CD/SPRY2/ADM/HIPK2/PTGIS/ITGB1/S1PR1/NRXN3/RRAS/RHOJ/TYMP/RIN2/NPR3/AKT1/DDAH1/SRF/TNFAIP2/E2F7/CUL7/ADM2/EPN2/THBS2/LOX/NOTCH3/HSPB1/TNFAIP3/TBX2/COL4A1/PACSIN2/MEIS3/AGO2/HDAC5/JAK1/HGS/BRCA1/DLL1/COL4A2/EPAS1/ANG/MCAM/JMJD6/LOXL2/STAT3/FGF10/NR4A1/CCL2/MYLK/CSPG4/RAPGEF3/VEGFC/HMOX1/TBX5/NDNF/ISM1/SLC31A1/PKM/AGO1/PPARG/AMOTL2/ANXA1/HDAC7/FGF1/ANPEP/PKD2/BTG1/C6/SEMA5A/PIK3CB/AGTR1/NOTCH1/SPRED1/COL15A1/COL3A1/ITGB8/EDNRA/SFRP1/VEGFA/LEP/RGCC/CREB3L1/ARHGAP22/HIPK1/TNFSF12/TGFB2/TGM2/PDCD10/SLIT2/ACVRL1/NPR1/PLEKHG5/SPHK1/ERAP1/COL18A1/APOD/MFGE8/APOLD1/IL12A/NINJ1/COL8A1/ROCK2/AMOT/SULF1/DLL4/VASH2/GATA6/RELA/NRP2/PLK2/TMEM100/SPARC/RUNX1,200
GO:0030198,extracellular matrix organization,112/3264,189/11134,0.5925925925925926,2.0214233841684823,9.120583606259139,6.3050638727806425e-18,5.516768297896746e-15,5.5167682978967456e-15,GAS6/ENG/COL6A6/PHLDB1/SLC2A10/ANGPTL7/LUM/COLQ/ADAMTS2/PLOD2/FLOT1/SMAD3/ADAMTS3/COL4A4/COL5A2/LAMC1/TGFBI/COL4A3/ADAMTS14/ADAMTS5/LAMB1/MMP15/PDPN/IL6/PXDN/MYO1E/SULF2/COL27A1/FBLN5/SERPINH1/ADAMTS1/NTN4/PAPLN/DAG1/PLAU/THSD4/TIMP3/FURIN/DPT/ELN/LOXL1/GREM1/HPSE/COL16A1/MMP19/COL5A3/GPM6B/CTSS/PLOD3/MMP2/NID1/AGT/MATN2/ITGB1/CST3/ADAMTSL4/TNXB/SH3PXD2B/LOX/COL7A1/ADAMTSL1/ADAMTS7/COL14A1/RB1/MMP1/COL4A1/COL1A1/FLRT2/FGFR4/POSTN/ATP7A/ST7/COL4A2/COL5A1/ITGA2/LOXL2/STAT3/APLP1/NDNF/ADAMTS10/CFLAR/PPARG/COL24A1/AXIN2/COL12A1/TNFRSF1B/SMOC1/NOTCH1/COL11A1/COL15A1/COL3A1/RGCC/CREB3L1/FSCN1/COL4A5/COL9A2/MATN3/TGFB2/TGM2/LAMA2/COL1A2/NID2/COLGALT1/PHLDB2/HMCN1/COL18A1/MFAP4/COL8A1/SULF1/DPP4/MMP11/RUNX1,112
GO:0043062,extracellular structure organization,112/3264,189/11134,0.5925925925925926,2.0214233841684823,9.120583606259139,6.3050638727806425e-18,5.516768297896746e-15,5.5167682978967456e-15,GAS6/ENG/COL6A6/PHLDB1/SLC2A10/ANGPTL7/LUM/COLQ/ADAMTS2/PLOD2/FLOT1/SMAD3/ADAMTS3/COL4A4/COL5A2/LAMC1/TGFBI/COL4A3/ADAMTS14/ADAMTS5/LAMB1/MMP15/PDPN/IL6/PXDN/MYO1E/SULF2/COL27A1/FBLN5/SERPINH1/ADAMTS1/NTN4/PAPLN/DAG1/PLAU/THSD4/TIMP3/FURIN/DPT/ELN/LOXL1/GREM1/HPSE/COL16A1/MMP19/COL5A3/GPM6B/CTSS/PLOD3/MMP2/NID1/AGT/MATN2/ITGB1/CST3/ADAMTSL4/TNXB/SH3PXD2B/LOX/COL7A1/ADAMTSL1/ADAMTS7/COL14A1/RB1/MMP1/COL4A1/COL1A1/FLRT2/FGFR4/POSTN/ATP7A/ST7/COL4A2/COL5A1/ITGA2/LOXL2/STAT3/APLP1/NDNF/ADAMTS10/CFLAR/PPARG/COL24A1/AXIN2/COL12A1/TNFRSF1B/SMOC1/NOTCH1/COL11A1/COL15A1/COL3A1/RGCC/CREB3L1/FSCN1/COL4A5/COL9A2/MATN3/TGFB2/TGM2/LAMA2/COL1A2/NID2/COLGALT1/PHLDB2/HMCN1/COL18A1/MFAP4/COL8A1/SULF1/DPP4/MMP11/RUNX1,112
GO:0035239,tube morphogenesis,231/3264,488/11134,0.4733606557377049,1.6147051289778205,8.942878498225564,6.8276835370009236e-18,5.516768297896746e-15,5.5167682978967456e-15,ANGPTL4/BMPER/ENG/EPHB2/BBS5/PTGS2/MET/MTDH/THY1/HIF1A/FMNL3/EMP2/BBS7/FZD4/NUS1/HIF3A/ACTG1/PIK3R3/ANGPT1/GLUL/PIK3C2A/EMILIN2/ITGB3/TGFBI/COL4A3/PIK3CA/UNC5B/JAG1/SMO/MDK/PKD1/IL6/CD40/ATOH8/ROBO1/GPNMB/LDLR/HOXA3/PDGFRA/EGR3/RBPJ/RORA/PXDN/CCL11/ELMO1/PDGFRB/PLXDC1/PTPRJ/FBLN5/MYH9/MTHFD1L/STIM1/EPHB3/HDAC9/ROCK1/ADAMTS1/SLC1A1/DAG1/WNT5A/STARD13/TCF21/CCBE1/PTK2B/FGFR2/HAND2/ITGB1BP1/MAGED1/ANXA2/GAB1/VASP/TGFBR2/PDGFA/PARVA/CCDC39/EPHB4/AAMP/TJP1/TLR3/ADAM12/PLXNB2/SOX4/GREM1/HPSE/CAV1/KLF4/MMP19/GRN/THBS1/STAT1/BCAM/PRKD1/F3/LMO4/DSP/SAT1/SHB/SMAD1/SFRP2/PTPRM/MMP2/RHOB/PIK3CD/SPRY2/ADM/HIPK2/PTGIS/AGT/ITGB1/S1PR1/NRXN3/SDCCAG8/RRAS/RHOJ/SOX9/TYMP/RIN2/NPR3/AKT1/TBX3/MICAL2/DDAH1/SRF/TNFAIP2/E2F7/CUL7/ADM2/EPN2/THBS2/LOX/NOTCH3/HSPB1/TNFAIP3/TBX2/COL4A1/PACSIN2/MEIS3/AGO2/HDAC5/JAK1/HGS/SEMA4C/BRCA1/DVL2/DLL1/COL4A2/EPAS1/ANG/MCAM/JMJD6/GLI2/LOXL2/STAT3/FGF10/NR4A1/CCL2/MYLK/CSPG4/RAPGEF3/MEF2C/VEGFC/HMOX1/TBX5/NDNF/GDNF/ISM1/SLC31A1/PKM/AGO1/PPARG/AMOTL2/ANXA1/HDAC7/FGF1/ANPEP/MYC/PKD2/BTG1/C6/SEMA5A/PIK3CB/HS3ST3B1/AGTR1/NOTCH1/LGR4/WNK4/SPRED1/COL15A1/COL3A1/ITGB8/EDNRA/SFRP1/VEGFA/LEP/RGCC/CREB3L1/ARHGAP22/HIPK1/TNFSF12/TGFB2/TGM2/PDCD10/SLIT2/MTHFD1/FOXP1/SIX4/ACVRL1/NPR1/PLEKHG5/SPHK1/ERAP1/COL18A1/APOD/MFGE8/APOLD1/RALA/IL12A/NINJ1/COL8A1/ROCK2/AMOT/SULF1/DLL4/MTSS1/VASH2/GATA6/RELA/NRP2/PLK2/TMEM100/SPARC/RUNX1,231
GO:0003013,circulatory system process,172/3264,336/11134,0.5119047619047619,1.7461849323062557,8.944133350793667,1.154086991628911e-17,7.368041332831654e-15,7.368041332831654e-15,ABCC5/SLC29A4/BIN1/GSTO1/ENG/ABCC9/PTGS2/PPARA/KCNMA1/SLC2A10/GSN/HRH1/SLC8A1/ASPH/INSR/TRPM4/NR2F2/ANK2/SMAD3/ANGPT1/SLC27A4/SCN2A/PIK3C2A/EMILIN2/AKAP12/ABCC4/ADORA1/SCN4B/PIK3CA/RARRES2/SLC16A12/HTR2A/PIEZO2/TJP2/SGK1/KCND2/CACNB2/SOD2/SVEP1/BDKRB1/NEDD4L/ATP1A2/PTPRJ/ABCC3/ROCK1/EDNRB/SLC1A1/CACNA1C/SLC7A5/GPD1L/SRI/GCH1/LRP3/CALM1/LNPEP/ITGB1BP1/KCND3/GAB1/CACNA1G/ELN/GSTM2/DMD/TJP1/EHD3/SLC6A6/SLC6A9/ADRA1B/CAV1/ERAP2/TBX18/DNM1L/KCNJ12/PRKG1/SLC38A2/PCSK5/DSP/RGS4/SLC1A5/MMP2/SLC2A13/ADM/ABAT/STC1/SCN1B/SLC24A3/SLC5A6/TRPV4/AGT/PREP/ITGB1/HSP90AA1/NPR3/PKP2/SPTBN4/SGCD/ABCC1/DDAH1/MAP2K1/PER2/FGF13/ADM2/YAP1/SERPING1/SNX5/KCNE3/DOCK5/HSD11B2/TBX2/PLEC/OXTR/CXCL12/CLIC2/SLC38A1/SLC16A2/DLL1/ATP1A1/ATP2A2/PRKAA1/CHRM2/VEGFC/FLNA/PTGS1/TBX5/ITGA4/PPARG/ATP2B1/GPX1/ANPEP/TPM1/SLC38A5/SCN5A/AGTR1/WNK4/ATP1B1/SCN2B/EDNRA/VEGFA/LEP/TRPA1/HSPB7/SLC4A4/SCARB1/ABCB1/ECE1/GNA12/ITGA1/TGFB2/ZEB2/GPER1/SLIT2/SCN7A/AGTRAP/ADRA2A/COL1A2/GCLM/ACVRL1/BMP6/NPR1/DMPK/ERAP1/SLC16A7/BDKRB2/PTPN11/ROCK2/AMOT/FERMT2/CORIN/RASL10B/GATA6/KCNJ8/MYOF/CELF2,172
GO:0001525,angiogenesis,184/3264,367/11134,0.5013623978201635,1.7102233263877757,8.909932646357309,1.3356764546302389e-17,7.368041332831654e-15,7.368041332831654e-15,ANGPTL4/BMPER/ENG/EPHB2/PTGS2/MTDH/THY1/HIF1A/FMNL3/EMP2/NUS1/HIF3A/ACTG1/PIK3R3/ANGPT1/GLUL/PIK3C2A/EMILIN2/ITGB3/TGFBI/COL4A3/PIK3CA/UNC5B/JAG1/MDK/IL6/CD40/ROBO1/GPNMB/HOXA3/PDGFRA/EGR3/RBPJ/RORA/PXDN/CCL11/PDGFRB/PLXDC1/PTPRJ/FBLN5/MYH9/STIM1/EPHB3/HDAC9/ROCK1/ADAMTS1/DAG1/WNT5A/STARD13/TCF21/CCBE1/PTK2B/FGFR2/HAND2/ITGB1BP1/ANXA2/GAB1/TGFBR2/PDGFA/PARVA/EPHB4/AAMP/TJP1/TLR3/ADAM12/GREM1/HPSE/KLF4/MMP19/GRN/THBS1/STAT1/BCAM/PRKD1/F3/SAT1/SHB/SMAD1/SFRP2/PTPRM/MMP2/RHOB/PIK3CD/SPRY2/ADM/HIPK2/PTGIS/ITGB1/S1PR1/NRXN3/RRAS/RHOJ/TYMP/NPR3/AKT1/DDAH1/SRF/TNFAIP2/E2F7/ADM2/EPN2/THBS2/NOTCH3/HSPB1/TNFAIP3/COL4A1/PACSIN2/MEIS3/AGO2/HDAC5/JAK1/HGS/BRCA1/DLL1/COL4A2/EPAS1/ANG/MCAM/JMJD6/LOXL2/STAT3/FGF10/NR4A1/CCL2/CSPG4/RAPGEF3/VEGFC/HMOX1/NDNF/ISM1/SLC31A1/PKM/AGO1/PPARG/AMOTL2/ANXA1/HDAC7/FGF1/ANPEP/BTG1/C6/SEMA5A/PIK3CB/AGTR1/NOTCH1/SPRED1/COL15A1/ITGB8/EDNRA/SFRP1/VEGFA/LEP/RGCC/CREB3L1/ARHGAP22/HIPK1/TNFSF12/TGFB2/TGM2/PDCD10/SLIT2/ACVRL1/NPR1/PLEKHG5/SPHK1/ERAP1/COL18A1/APOD/MFGE8/APOLD1/IL12A/NINJ1/COL8A1/ROCK2/AMOT/SULF1/DLL4/VASH2/GATA6/RELA/NRP2/PLK2/SPARC/RUNX1,184
GO:0008015,blood circulation,147/3264,274/11134,0.5364963503649635,1.8300705775010733,8.959199396970343,1.3678294553524112e-17,7.368041332831654e-15,7.368041332831654e-15,BIN1/GSTO1/ENG/ABCC9/PTGS2/PPARA/KCNMA1/GSN/HRH1/SLC8A1/ASPH/TRPM4/NR2F2/ANK2/SMAD3/ANGPT1/SCN2A/PIK3C2A/EMILIN2/AKAP12/ADORA1/SCN4B/PIK3CA/RARRES2/HTR2A/PIEZO2/TJP2/SGK1/KCND2/CACNB2/SOD2/SVEP1/BDKRB1/NEDD4L/ATP1A2/PTPRJ/ROCK1/EDNRB/SLC1A1/CACNA1C/GPD1L/SRI/GCH1/CALM1/LNPEP/ITGB1BP1/KCND3/GAB1/CACNA1G/ELN/GSTM2/DMD/TJP1/EHD3/ADRA1B/CAV1/ERAP2/TBX18/DNM1L/KCNJ12/PRKG1/PCSK5/DSP/RGS4/MMP2/ADM/ABAT/STC1/SCN1B/TRPV4/AGT/PREP/ITGB1/HSP90AA1/NPR3/PKP2/SPTBN4/SGCD/DDAH1/MAP2K1/PER2/FGF13/ADM2/SERPING1/SNX5/KCNE3/DOCK5/HSD11B2/TBX2/PLEC/OXTR/CXCL12/CLIC2/DLL1/ATP1A1/ATP2A2/PRKAA1/CHRM2/VEGFC/FLNA/PTGS1/TBX5/ITGA4/PPARG/ATP2B1/GPX1/ANPEP/TPM1/SCN5A/AGTR1/WNK4/ATP1B1/SCN2B/EDNRA/VEGFA/LEP/TRPA1/HSPB7/SCARB1/ECE1/GNA12/ITGA1/TGFB2/ZEB2/GPER1/SLIT2/SCN7A/AGTRAP/ADRA2A/COL1A2/GCLM/ACVRL1/BMP6/NPR1/DMPK/ERAP1/BDKRB2/PTPN11/ROCK2/AMOT/FERMT2/CORIN/RASL10B/GATA6/KCNJ8/MYOF/CELF2,147
GO:0045229,external encapsulating structure organization,112/3264,191/11134,0.5863874345549738,2.0002566471614824,8.979532849507232,1.9010579083058948e-17,9.216328739466978e-15,9.216328739466978e-15,GAS6/ENG/COL6A6/PHLDB1/SLC2A10/ANGPTL7/LUM/COLQ/ADAMTS2/PLOD2/FLOT1/SMAD3/ADAMTS3/COL4A4/COL5A2/LAMC1/TGFBI/COL4A3/ADAMTS14/ADAMTS5/LAMB1/MMP15/PDPN/IL6/PXDN/MYO1E/SULF2/COL27A1/FBLN5/SERPINH1/ADAMTS1/NTN4/PAPLN/DAG1/PLAU/THSD4/TIMP3/FURIN/DPT/ELN/LOXL1/GREM1/HPSE/COL16A1/MMP19/COL5A3/GPM6B/CTSS/PLOD3/MMP2/NID1/AGT/MATN2/ITGB1/CST3/ADAMTSL4/TNXB/SH3PXD2B/LOX/COL7A1/ADAMTSL1/ADAMTS7/COL14A1/RB1/MMP1/COL4A1/COL1A1/FLRT2/FGFR4/POSTN/ATP7A/ST7/COL4A2/COL5A1/ITGA2/LOXL2/STAT3/APLP1/NDNF/ADAMTS10/CFLAR/PPARG/COL24A1/AXIN2/COL12A1/TNFRSF1B/SMOC1/NOTCH1/COL11A1/COL15A1/COL3A1/RGCC/CREB3L1/FSCN1/COL4A5/COL9A2/MATN3/TGFB2/TGM2/LAMA2/COL1A2/NID2/COLGALT1/PHLDB2/HMCN1/COL18A1/MFAP4/COL8A1/SULF1/DPP4/MMP11/RUNX1,112
