category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,97/1750,162/5535,0.5987654320987654,1.8938095238095238,7.850543505941197,5.247157233936683e-14,1.8155164029420923e-11,1.8155164029420923e-11,7431/6383/131873/1730/633/6709/91010/287/71/2273/1286/1290/3690/1285/4628/84033/7414/6382/6641/477/85301/4627/25802/1605/23002/6385/825/3655/1729/2006/8736/1756/3679/79188/7057/1293/50509/1832/752/64423/22801/7171/4811/3688/1462/23500/10611/51778/6443/7791/5318/57731/81624/6444/9124/10398/7058/25777/1282/8515/5339/1277/72/2201/7059/171024/7094/1284/476/1289/3673/60/7169/3676/7170/4001/271/114793/832/255631/7168/1301/481/1281/3696/1287/1298/3672/2274/3908/1278/8516/22795/9672/1837/9260/83660,97
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,96/1750,166/5535,0.5783132530120482,1.8291222030981067,7.3744824626219305,1.37438440944113e-12,2.377685028333155e-10,2.377685028333155e-10,56034/6655/858/131873/4233/5602/2013/3265/3371/5063/71/8503/1286/5296/3690/3915/1285/10627/5290/3912/5295/5156/7414/5879/5159/6093/5881/3914/3655/1729/5595/7408/5154/55742/3679/857/7057/1293/54776/22801/5293/2317/5908/3688/7791/7148/207/3909/5604/894/5894/10398/7058/3082/1282/8515/53358/1277/2012/7059/7094/1284/3673/60/896/4638/3611/7424/2316/3676/4660/5728/3725/87/5291/596/5499/8394/3696/7422/5500/1287/1298/3672/3480/2002/1398/3908/1278/8516/103910/4659/9475/3918/81/83660,96
Cellular Processes,Cell motility,hsa04810,Regulation of actin cytoskeleton,92/1750,172/5535,0.5348837209302325,1.6917607973421929,6.266455087152783,1.3151331563184542e-9,1.5167869069539505e-7,1.5167869069539505e-7,56034/6655/1730/2245/2934/26999/3265/5217/5063/71/8503/1072/5296/3690/10627/5290/1902/5295/10092/3984/4628/23365/5156/7414/4893/5879/5159/623/200576/4627/9138/6093/5881/2263/3655/1729/5595/5154/3679/10163/8976/221178/85464/10096/54776/10152/22801/5293/3688/6237/207/28964/730/81624/5604/5894/10398/8515/22800/2264/6387/8936/3673/60/2255/1129/4638/3676/4660/10093/87/10097/2246/729/5291/5499/10094/8394/3696/28984/5500/2768/3672/1398/8516/103910/10788/4659/624/9475/81/10787,92
Environmental Information Processing,Signaling molecules and interaction,hsa04518,Integrin signaling,68/1750,117/5535,0.5811965811965812,1.838241758241758,6.230865582741786,2.0860525885679647e-9,1.8044354891112894e-7,1.8044354891112894e-7,56034/131873/4233/3371/71/8503/1286/5296/3690/3915/1285/5290/3912/5295/5156/7414/5879/5159/5881/3914/3655/5154/55742/3679/3987/7057/1293/22801/5293/2317/3688/7148/207/3909/894/7058/3082/1282/8515/1277/55679/7059/7094/1284/3673/60/896/3611/7424/2316/3676/2475/87/7412/5291/3696/7422/1287/1298/3672/3480/3908/1278/8516/10979/3918/81/83660,68
Human Diseases,Cancer: overview,hsa05200,Pathways in cancer,180/1750,400/5535,0.45,1.4232857142857143,5.9758411288054365,4.001860074292916e-9,2.769287171410698e-7,2.769287171410698e-7,9446/6655/7187/5743/862/4233/5602/2949/3091/10235/3265/1613/8322/836/8454/8503/4088/1286/2737/5296/3570/2776/3915/1285/196883/5290/3912/1902/8325/182/6608/5295/3717/3569/23365/5156/2790/10018/5900/4893/1021/5879/5159/4792/1643/1026/623/3326/3066/23236/9138/6093/1910/5881/7474/4040/2947/23604/801/2263/3914/7296/11186/3655/5595/7048/5154/2946/114/6502/5888/6772/2783/2787/6777/4313/5293/5332/54331/1147/10928/183/815/3688/1030/3320/1487/59345/207/9915/3909/4616/5604/894/5894/83439/8323/3082/4854/8202/5925/4312/1282/5336/2264/6387/3716/9252/1029/8324/1856/28514/109/1284/890/3714/2034/2736/3673/6774/2255/7704/896/7424/3162/2099/7170/27113/2475/5468/7157/5728/3725/867/2308/3459/5567/4193/1728/2246/4609/8313/9618/5291/185/4851/596/1909/5292/7422/4292/1287/2768/1019/51684/7042/3480/2002/1398/3908/3481/7472/2271/57449/7855/624/5898/3592/107/2770/9475/2941/3918/54567/4436/6776/5337/5970/5899/861,180
Human Diseases,Cancer: overview,hsa05206,MicroRNAs in cancer,78/1750,143/5535,0.5454545454545454,1.7251948051948054,5.973837726480254,7.66564598030445e-9,4.420522515308899e-7,4.420522515308899e-7,7431/6935/6655/5743/4233/8651/3265/3667/3371/90427/836/8503/5296/3690/5290/5295/2146/5156/10018/4893/1021/5159/5598/1026/3066/6093/5328/7078/11186/5595/5154/6659/7057/5581/23414/2744/27250/5293/10253/994/7148/4082/4363/1945/5604/894/5894/4854/5336/10014/9252/1029/672/6774/599/3162/2475/7157/5728/1788/4193/4609/7168/5291/4851/596/4194/5292/7422/6624/5243/4170/7042/9839/1398/27086/8660/54541,78
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,53/1750,88/5535,0.6022727272727273,1.9049025974025977,5.817952123391022,2.385497959082737e-8,1.0811183475795373e-6,1.0811183475795373e-6,5602/3265/836/8503/4088/1286/5296/1285/5290/5295/3717/3569/4893/5879/23236/1729/5595/7048/5581/6772/2152/6777/4313/5293/5332/183/207/1282/5336/1277/5603/1284/6774/6347/7424/5600/3725/2308/7412/5291/185/596/1432/1281/5292/7422/1287/1019/7042/1278/51196/6776/5970,53
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,36/1750,52/5535,0.6923076923076923,2.1896703296703293,5.8603673371052745,2.4996956013399705e-8,1.0811183475795373e-6,1.0811183475795373e-6,131873/6546/1286/1290/1285/120103/477/85301/6505/2006/1307/1293/50509/54407/6510/1294/10008/7373/206358/1282/1277/1284/476/1289/255631/1303/1301/481/1306/1281/1287/1298/1278/80781/1295/1803,36
Environmental Information Processing,Signal transduction,hsa04022,cGMP-PKG signaling pathway,63/1750,112/5535,0.5625,1.7791071428571428,5.6635932427353914,4.64114475854891e-8,1.6098999901342704e-6,1.6098999901342704e-6,4209/3778/6546/3667/3643/2776/134/196883/10105/4205/477/291/23236/5593/6093/1910/775/1385/801/2977/5595/7408/114/147/5581/5592/468/5332/8654/7417/207/6722/5604/5894/10398/64764/7225/109/476/488/4638/4208/490/3708/185/5499/481/1909/90993/3709/5500/2768/150/4881/4659/624/107/8660/2770/9475/9586/4776/3764,63
Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,84/1750,162/5535,0.5185185185185185,1.64,5.621273559928061,4.652890144896735e-8,1.6098999901342704e-6,1.6098999901342704e-6,2817/6655/6383/858/4233/4060/3091/3265/8322/836/287/71/8503/5296/3690/5290/8325/6608/5295/23365/4893/5879/6382/1026/9138/6093/7474/5328/7078/6385/5595/2549/117581/10855/857/7057/54776/27250/4313/5293/815/3688/6237/207/5604/5894/8323/3082/5336/1277/22800/5603/8324/3673/60/6774/2316/2099/5600/2475/4660/7157/867/5567/4193/3708/4609/5291/5499/1432/7422/3709/5500/7042/3480/2002/1278/3481/7472/7855/4659/5781/9475/51196,84
